timestamp,x,y,z
0,-1.85,9.0,2.85
10,-1.41,8.33,2.19
20,-0.74,7.28,1.39
30,0.01,5.97,0.64
40,0.12,4.95,0.15
50,0.35,3.82,-0.34
60,0.55,3.18,-0.49
70,0.42,2.67,-0.16
80,-0.09,1.79,-0.29
90,-1.25,1.14,-0.89
100,-2.15,0.34,-1.33
110,-2.66,-0.43,-1.1
120,-3.36,-1.03,-0.44
130,-5.06,-1.48,0.2
140,-7.68,-1.85,0.59
150,-10.37,-1.82,1.1
160,-14.05,-1.03,2.96
170,-19.15,0.76,5.31
180,-23.05,2.57,8.12
190,-25.29,3.69,11.3
200,-25.86,4.65,14.28
210,-24.63,4.99,16.8
220,-22.23,4.52,18.31
230,-19.06,3.42,18.76
240,-16.06,2.05,18.6
250,-13.32,1.04,18.09
260,-10.83,1.0,17.81
270,-7.85,0.07,19.02
280,-2.85,1.01,19.56
290,0.06,0.89,22.39
300,4.44,2.1,24.18
310,3.47,3.54,24.5
320,6.08,3.67,24.65
330,9.27,2.44,24.39
340,10.75,2.02,22.17
350,11.48,0.58,19.44
360,10.69,-0.67,16.3
370,10.25,-1.48,13.38
380,9.94,-1.61,11.23
390,9.58,-2.15,9.22
400,8.9,-2.59,7.67
410,7.56,-2.67,6.16
420,5.86,-2.43,4.96
430,5.09,-2.57,4.03
440,4.31,-3.02,3.14
450,3.69,-2.87,1.95
460,3.37,-2.5,0.59
470,2.94,-2.04,-0.91
480,2.13,-1.33,-2.43
490,0.85,-0.71,-3.84
500,-0.11,-0.28,-4.7
510,-1.04,-0.33,-5.07
520,-2.46,-1.02,-5.37
530,-4.05,-1.44,-5.08
540,-5.69,-2.02,-4.56
550,-7.28,-1.84,-4.16
560,-9.53,-1.91,-3.18
570,-11.92,-0.43,-1.44
580,-14.37,1.41,0.9
590,-16.67,3.75,3.24
600,-19.06,5.77,4.88
610,-20.02,7.33,6.45
620,-19.91,8.37,7.12
630,-19.39,8.77,7.09
640,-18.42,8.85,6.66
650,-17.26,8.6,6.01
660,-16.15,8.71,5.43
670,-14.89,8.65,5.08
680,-13.32,8.94,4.92
690,-11.19,9.06,5.65
700,-8.97,9.61,6.42
710,-7.11,10.3,7.13
720,-5.48,11.03,7.75
730,-4.93,11.54,8.16
740,-4.69,11.56,8.46
750,-4.51,11.53,8.52
760,-4.23,11.28,8.45
770,-3.97,10.86,8.12
780,-3.81,10.27,7.54
790,-3.6,9.66,6.9
800,-3.44,9.04,6.15
810,-3.61,8.4,5.33
820,-4.02,7.83,4.49
830,-4.47,7.22,3.6
840,-4.81,6.6,2.83
850,-5.03,5.94,2.12
860,-5.21,5.44,1.53
870,-5.36,5.09,1.02
880,-5.38,4.81,0.66
890,-5.27,4.7,0.5
900,-5.18,4.75,0.33
910,-5.25,4.64,0.14
920,-5.41,4.71,0.02
930,-5.66,5.02,0.14
940,-5.8,5.31,0.23
950,-5.96,5.49,0.33
960,-6.12,5.77,0.43
970,-6.14,6.05,0.54
980,-6.08,6.17,0.65
990,-5.94,6.3,0.85
1000,-5.83,6.57,1.12
