timestamp,x,y,z
0,-10.02,5.31,2.04
10,-10.08,5.57,2.26
20,-10.31,5.93,2.44
30,-10.46,6.34,2.81
40,-10.41,6.8,3.22
50,-10.03,7.05,3.46
60,-9.24,7.14,3.53
70,-8.37,6.99,3.5
80,-7.32,6.82,3.33
90,-6.28,6.48,3.07
100,-5.51,6.1,2.67
110,-4.67,5.72,2.12
120,-3.63,5.25,1.52
130,-2.89,4.75,0.58
140,-1.88,3.83,-0.43
150,-0.73,1.77,-1.76
160,-0.78,1.43,-3.53
170,-0.9,-0.34,-4.74
180,-1.79,-2.24,-5.83
190,-2.7,-4.16,-5.91
200,-4.08,-6.17,-5.07
210,-6.24,-7.7,-3.57
220,-9.47,-8.26,-1.47
230,-13.1,-8.68,1.36
240,-17.89,-8.33,5.28
250,-23.36,-6.07,9.61
260,-28.19,-2.42,14.09
270,-30.74,0.84,18.27
280,-29.87,1.88,20.44
290,-27.69,1.65,20.21
300,-24.92,0.52,18.05
310,-21.59,-0.54,15.75
320,-18.64,-1.26,14.16
330,-16.38,-1.04,12.5
340,-14.14,-0.59,11.6
350,-12.93,0.17,11.37
360,-12.13,2.0,11.82
370,-10.92,3.71,12.62
380,-9.28,4.9,13.77
390,-6.29,5.69,15.07
400,-2.3,6.05,16.96
410,1.29,6.53,19.42
420,3.37,6.35,19.89
430,6.11,5.59,19.35
440,7.74,4.13,18.22
450,8.97,3.79,16.25
460,9.06,3.88,14.12
470,8.85,3.01,12.37
480,8.58,2.01,10.96
490,7.8,0.46,9.64
500,6.25,-1.25,7.66
510,5.31,-2.99,5.44
520,3.81,-3.91,3.01
530,2.28,-4.8,0.41
540,0.78,-5.73,-2.18
550,-0.28,-6.37,-4.66
560,-1.74,-7.41,-6.7
570,-3.89,-8.87,-7.96
580,-5.77,-10.46,-7.35
590,-7.84,-12.09,-4.81
600,-10.92,-13.44,-2.46
610,-14.55,-14.59,-0.64
620,-18.48,-15.41,1.08
630,-21.76,-14.89,2.66
640,-24.99,-12.74,5.14
650,-29.27,-7.55,7.74
660,-30.61,-2.15,9.72
670,-30.61,1.65,11.51
680,-28.63,3.32,12.27
690,-25.23,3.69,12.23
700,-21.15,3.58,12.52
710,-16.97,3.46,13.2
720,-13.38,4.13,13.73
730,-11.33,5.23,13.67
740,-10.36,6.49,12.83
750,-10.09,7.41,11.72
760,-9.75,7.79,10.63
770,-9.5,8.09,9.71
780,-8.85,7.88,9.09
790,-8.09,7.03,8.67
800,-7.62,6.07,7.88
810,-7.85,5.14,6.36
820,-8.17,4.12,4.68
830,-8.26,3.08,3.2
840,-8.22,2.32,1.96
850,-8.07,1.75,1.05
860,-7.85,1.37,0.3
870,-7.72,0.94,-0.2
880,-7.6,0.62,-0.88
890,-7.47,0.41,-1.47
900,-7.4,0.12,-1.85
910,-7.32,-0.21,-2.08
920,-7.15,-0.21,-2.3
930,-7.05,-0.24,-2.41
940,-6.95,-0.23,-2.26
950,-7.06,-0.06,-2.04
960,-7.54,0.47,-1.88
970,-7.93,0.92,-1.71
980,-8.24,1.28,-1.57
990,-8.53,1.71,-1.45
1000,-8.61,2.05,-1.29
