timestamp,x,y,z
0,-2.24,2.07,-10.3
10,-2.28,2.09,-10.31
20,-2.3,2.11,-10.43
30,-2.39,2.15,-10.57
40,-2.5,2.18,-10.63
50,-2.71,2.18,-10.73
60,-2.86,2.12,-10.93
70,-2.97,2.23,-11.22
80,-3.16,2.28,-11.4
90,-3.17,2.33,-11.7
100,-3.33,2.18,-11.87
110,-3.51,2.22,-11.93
120,-3.6,2.16,-11.9
130,-3.67,2.06,-11.83
140,-3.74,1.94,-11.71
150,-3.77,1.82,-11.28
160,-3.78,1.42,-11.19
170,-4.1,1.27,-10.72
180,-4.13,1.41,-10.35
190,-4.11,1.42,-10.28
200,-4.05,1.36,-10.27
210,-4.01,1.35,-10.1
220,-4.0,1.45,-9.95
230,-3.75,1.4,-9.88
240,-3.48,1.28,-9.52
250,-3.35,1.27,-8.83
260,-2.86,1.02,-8.02
270,-2.25,0.93,-7.48
280,-1.53,0.8,-7.33
290,-0.61,0.62,-7.4
300,0.27,0.73,-7.49
310,1.0,0.97,-7.79
320,1.42,1.4,-8.26
330,1.87,1.82,-8.78
340,2.27,2.13,-8.83
350,2.66,2.41,-8.97
360,2.78,2.54,-8.73
370,2.8,2.67,-8.63
380,2.64,2.95,-9.04
390,2.5,3.24,-9.79
400,2.07,3.49,-10.64
410,1.53,3.86,-11.91
420,0.96,4.18,-13.0
430,0.03,4.41,-14.71
440,-1.23,4.44,-15.88
450,-2.43,4.37,-15.78
460,-3.35,4.08,-16.38
470,-4.41,3.71,-16.71
480,-5.63,3.42,-16.59
490,-6.95,3.01,-16.38
500,-8.04,2.66,-16.3
510,-8.9,2.47,-16.14
520,-9.42,2.23,-15.6
530,-9.79,1.98,-14.9
540,-9.81,1.52,-13.8
550,-9.48,0.88,-12.93
560,-9.48,0.51,-12.13
570,-9.21,0.26,-11.34
580,-9.28,0.02,-10.62
590,-9.41,-0.07,-9.79
600,-9.45,-0.45,-9.27
610,-9.01,-0.54,-9.11
620,-8.48,-0.67,-8.76
630,-7.95,-0.86,-8.58
640,-7.6,-0.96,-8.29
650,-7.36,-1.03,-8.07
660,-7.03,-1.22,-7.72
670,-6.86,-1.34,-7.44
680,-6.64,-1.45,-6.92
690,-6.43,-1.57,-6.54
700,-6.14,-1.58,-6.18
710,-5.86,-1.47,-5.87
720,-5.39,-1.36,-5.54
730,-4.92,-1.28,-5.2
740,-4.36,-1.23,-4.87
750,-3.76,-1.35,-4.58
760,-3.17,-1.26,-4.43
770,-2.46,-1.26,-4.31
780,-1.96,-1.17,-4.42
790,-1.64,-0.87,-4.72
800,-1.39,-0.53,-5.07
810,-1.15,-0.21,-5.36
820,-0.91,0.11,-5.63
830,-0.69,0.36,-5.6
840,-0.39,0.54,-5.56
850,-0.13,0.79,-5.56
860,0.18,1.03,-5.68
870,0.75,1.13,-6.1
880,1.26,1.28,-6.73
890,1.44,1.49,-7.58
900,1.62,1.87,-8.54
910,1.54,2.23,-9.52
920,1.29,2.6,-10.34
930,0.79,2.92,-10.8
940,0.28,3.24,-11.16
950,-0.06,3.48,-11.52
960,-0.23,3.49,-11.83
970,-0.69,3.91,-11.96
980,-0.25,3.42,-12.28
990,-0.23,3.5,-12.79
1000,-0.37,3.56,-13.18
