timestamp,x,y,z
0,-8.98,8.94,2.97
10,-8.68,9.17,2.84
20,-8.23,9.17,2.61
30,-7.54,8.93,2.42
40,-6.85,8.46,2.31
50,-6.08,8.03,2.27
60,-5.41,7.78,2.27
70,-4.67,7.59,2.31
80,-4.03,7.35,2.27
90,-3.37,7.29,1.85
100,-2.3,6.99,1.64
110,-1.05,6.4,1.38
120,0.32,5.6,1.21
130,2.11,4.57,0.88
140,3.21,3.28,-0.01
150,3.44,2.07,-1.64
160,3.04,0.93,-3.54
170,2.76,-1.18,-4.99
180,2.22,-3.05,-5.61
190,0.14,-6.19,-5.68
200,-3.14,-8.46,-5.01
210,-7.21,-9.94,-3.48
220,-11.61,-11.09,-0.6
230,-16.42,-12.22,3.32
240,-23.16,-12.22,8.09
250,-29.99,-10.42,13.52
260,-35.66,-6.23,18.69
270,-36.77,-3.29,23.25
280,-34.73,-1.13,25.27
290,-30.85,-0.32,24.52
300,-26.44,-1.15,21.67
310,-22.29,-1.58,18.29
320,-18.58,-1.74,15.85
330,-15.58,-1.41,13.99
340,-13.47,-1.19,12.73
350,-11.85,-0.66,12.0
360,-10.63,-0.02,11.4
370,-9.18,0.5,11.54
380,-7.38,0.59,12.33
390,-5.12,0.9,13.74
400,-2.54,1.36,15.78
410,0.42,1.89,18.13
420,3.76,2.28,20.48
430,6.92,3.14,21.98
440,8.61,4.09,22.13
450,9.63,3.66,21.03
460,9.56,2.32,18.55
470,9.53,-0.08,15.53
480,10.17,-0.73,12.31
490,10.4,0.38,10.3
500,9.38,-0.64,9.54
510,9.14,-2.28,8.05
520,9.18,-3.79,5.54
530,8.57,-5.03,3.14
540,7.28,-6.17,1.2
550,6.13,-7.44,-0.45
560,3.99,-8.57,-1.91
570,0.03,-9.38,-3.67
580,-3.41,-10.05,-4.65
590,-8.17,-10.81,-5.41
600,-12.83,-10.69,-4.88
610,-16.71,-9.89,-4.27
620,-18.92,-9.77,-3.01
630,-20.12,-9.72,-1.16
640,-20.48,-9.83,0.24
650,-20.29,-9.89,2.46
660,-21.59,-9.59,4.19
670,-24.98,-7.22,5.19
680,-27.99,-4.2,6.51
690,-29.76,-1.53,8.29
700,-29.75,1.19,9.88
710,-27.99,2.64,11.06
720,-25.69,3.28,10.81
730,-23.1,3.52,10.08
740,-20.75,3.55,9.62
750,-18.24,3.62,9.57
760,-15.51,3.55,9.86
770,-12.99,3.96,10.2
780,-10.6,4.54,10.4
790,-8.57,5.25,10.26
800,-7.1,6.02,9.58
810,-6.07,6.24,9.0
820,-5.11,6.17,8.1
830,-4.95,6.18,7.19
840,-5.07,5.77,6.16
850,-5.37,5.15,5.04
860,-5.7,4.42,3.86
870,-6.08,3.83,2.71
880,-6.42,3.43,1.66
890,-6.69,3.07,0.87
900,-6.86,2.84,0.25
910,-6.97,2.74,-0.23
920,-7.06,2.65,-0.54
930,-7.14,2.45,-0.84
940,-7.13,2.25,-1.04
950,-7.11,2.11,-1.27
960,-7.09,2.02,-1.45
970,-7.03,1.93,-1.67
980,-7.16,1.94,-1.86
990,-7.25,2.02,-2.02
1000,-7.49,2.1,-2.09
