timestamp,x,y,z
0,-8.74,6.6,-0.89
10,-8.55,6.66,-0.68
20,-8.71,6.93,-0.44
30,-9.09,6.9,-0.35
40,-9.55,7.16,0.21
50,-9.73,7.35,0.65
60,-9.87,7.14,1.26
70,-9.7,7.02,1.4
80,-9.51,6.89,1.5
90,-9.34,6.78,1.54
100,-9.11,6.69,1.61
110,-8.68,6.58,1.83
120,-7.82,6.45,2.02
130,-6.98,6.32,2.16
140,-5.75,6.1,2.31
150,-4.11,5.65,2.51
160,-2.39,5.16,2.53
170,-0.95,4.75,2.05
180,0.62,4.4,1.17
190,2.04,3.6,-0.66
200,3.62,2.56,-2.37
210,4.64,1.38,-4.51
220,4.78,0.11,-6.29
230,4.5,-1.31,-8.13
240,3.39,-2.39,-8.66
250,0.37,-3.34,-8.23
260,-4.0,-3.54,-7.78
270,-8.49,-3.64,-6.51
280,-13.21,-3.84,-4.16
290,-18.29,-4.32,-1.34
300,-23.54,-3.74,1.39
310,-27.64,-4.3,4.51
320,-30.01,-5.29,8.87
330,-30.17,-5.66,10.76
340,-29.13,-7.45,13.01
350,-26.76,-8.14,13.62
360,-24.71,-8.59,13.88
370,-22.83,-8.87,15.81
380,-21.59,-8.88,20.09
390,-20.83,-8.58,24.07
400,-19.76,-7.26,27.46
410,-17.55,-6.27,30.58
420,-14.84,-5.57,32.71
430,-12.86,-6.49,32.76
440,-7.86,-7.19,29.23
450,-4.42,-7.34,25.55
460,-0.98,-8.27,21.77
470,2.14,-7.6,17.95
480,4.53,-7.52,14.51
490,6.62,-7.2,11.95
500,8.04,-6.9,10.27
510,8.87,-6.46,8.57
520,9.37,-6.49,6.06
530,9.79,-6.48,3.1
540,10.03,-6.28,-0.13
550,10.02,-5.5,-2.6
560,9.58,-5.07,-4.16
570,9.04,-4.75,-5.25
580,8.15,-4.38,-5.73
590,7.2,-4.33,-5.59
600,6.04,-4.52,-5.42
610,3.89,-4.4,-5.59
620,1.29,-4.21,-5.77
630,-1.1,-4.34,-5.99
640,-3.28,-4.99,-6.07
650,-5.63,-5.55,-6.62
660,-8.85,-5.46,-7.15
670,-11.45,-5.09,-6.78
680,-13.76,-4.66,-5.77
690,-16.13,-4.07,-5.32
700,-17.76,-3.46,-5.04
710,-19.35,-3.17,-4.53
720,-21.62,-2.59,-3.31
730,-24.33,-1.55,-1.32
740,-25.47,-0.82,1.01
750,-24.9,-0.46,2.75
760,-24.12,0.01,3.48
770,-23.71,0.78,4.13
780,-23.15,1.41,4.9
790,-21.98,1.73,5.25
800,-19.97,1.96,4.31
810,-18.21,1.35,6.11
820,-16.8,1.47,7.03
830,-15.2,1.9,6.62
840,-13.5,2.44,6.16
850,-12.33,2.98,5.83
860,-11.04,3.4,5.15
870,-10.1,3.64,4.21
880,-9.81,3.83,3.54
890,-9.98,3.95,2.98
900,-10.31,4.06,2.43
910,-10.36,3.98,2.07
920,-9.88,3.76,1.92
930,-9.62,3.58,1.88
940,-9.56,3.59,1.73
950,-9.5,3.62,1.09
960,-9.19,3.53,0.59
970,-8.81,3.26,0.25
980,-8.24,2.94,-0.17
990,-7.71,2.74,-0.67
1000,-7.35,2.61,-1.12
