timestamp,x,y,z
0,-4.68,2.72,-10.17
10,-4.46,3.0,-10.22
20,-4.72,3.1,-10.24
30,-4.68,3.01,-10.65
40,-4.99,3.11,-10.99
50,-5.18,3.35,-10.92
60,-5.33,3.51,-10.88
70,-5.39,3.59,-10.75
80,-5.39,3.68,-10.88
90,-5.33,3.83,-10.98
100,-5.05,3.72,-11.13
110,-4.92,3.56,-11.1
120,-4.85,3.58,-10.75
130,-4.94,3.56,-10.41
140,-5.03,3.58,-9.97
150,-5.46,3.51,-9.86
160,-6.23,3.55,-10.04
170,-6.8,3.57,-9.93
180,-7.39,3.5,-9.49
190,-7.44,3.15,-8.61
200,-8.23,3.04,-8.32
210,-8.93,2.74,-8.34
220,-9.43,2.5,-8.3
230,-10.27,2.42,-8.26
240,-10.8,2.26,-7.8
250,-11.37,1.96,-7.38
260,-11.83,1.54,-7.01
270,-12.28,1.23,-6.32
280,-12.69,1.01,-6.03
290,-12.81,0.83,-5.62
300,-12.82,0.68,-5.0
310,-12.61,0.46,-4.33
320,-12.24,0.16,-3.73
330,-11.6,-0.16,-3.27
340,-10.82,-0.45,-2.95
350,-9.9,-0.73,-2.61
360,-8.77,-0.96,-2.35
370,-7.58,-1.15,-2.21
380,-6.4,-1.35,-2.27
390,-5.17,-1.41,-2.31
400,-4.08,-1.42,-2.33
410,-3.25,-1.3,-2.3
420,-2.57,-1.18,-2.21
430,-1.79,-1.15,-2.22
440,-1.25,-0.86,-2.64
450,-1.26,-0.78,-3.03
460,-0.42,-0.34,-2.97
470,0.12,-0.16,-3.66
480,0.78,0.0,-4.07
490,1.53,0.42,-4.44
500,2.32,0.63,-4.88
510,2.93,0.88,-5.43
520,3.28,1.03,-6.18
530,3.36,1.23,-7.14
540,3.19,1.47,-8.21
550,2.73,2.03,-9.32
560,2.14,2.72,-10.21
570,1.41,3.28,-10.59
580,0.93,3.7,-11.39
590,0.45,4.01,-11.95
600,0.19,4.24,-12.35
610,-0.14,4.56,-13.07
620,-0.71,4.99,-14.09
630,-1.22,5.36,-14.11
640,-1.33,5.83,-15.49
650,-2.22,6.34,-16.56
660,-3.55,7.1,-17.46
670,-5.33,7.37,-18.1
680,-6.61,7.27,-18.0
690,-8.16,7.32,-17.72
700,-9.55,7.33,-17.09
710,-10.72,7.27,-16.06
720,-11.36,6.88,-15.23
730,-11.69,6.57,-14.78
740,-11.76,6.16,-14.49
750,-11.85,5.69,-14.35
760,-12.05,5.22,-13.82
770,-12.36,4.62,-13.05
780,-12.8,4.04,-12.44
790,-13.01,3.61,-11.79
800,-12.96,3.13,-11.21
810,-13.14,2.75,-11.05
820,-13.05,2.21,-10.2
830,-13.28,1.75,-9.2
840,-13.48,1.47,-8.27
850,-13.77,1.29,-7.48
860,-13.71,1.06,-6.64
870,-13.35,0.73,-5.87
880,-12.68,0.3,-5.12
890,-11.81,-0.15,-4.6
900,-10.87,-0.46,-4.01
910,-9.93,-0.83,-3.45
920,-9.06,-1.01,-2.94
930,-8.29,-1.06,-2.53
940,-7.59,-1.12,-2.26
950,-7.0,-1.08,-1.9
960,-6.55,-1.13,-1.81
970,-6.18,-1.04,-1.7
980,-5.92,-0.94,-1.87
990,-5.8,-0.77,-2.14
1000,-5.4,-0.65,-2.22
