timestamp,x,y,z
0,-9.67,6.59,-0.88
10,-9.16,6.67,-0.01
20,-8.42,6.73,1.0
30,-7.32,6.65,1.87
40,-6.12,6.55,2.55
50,-4.84,6.16,3.01
60,-3.2,5.45,3.26
70,-1.49,4.54,3.06
80,-0.44,3.95,2.36
90,0.58,3.47,0.42
100,1.67,2.95,-1.68
110,2.52,2.53,-3.1
120,3.21,1.75,-4.34
130,2.77,0.81,-5.15
140,1.88,-0.66,-5.72
150,-0.03,-2.17,-5.91
160,-2.92,-3.72,-6.29
170,-8.28,-4.12,-6.9
180,-14.8,-3.51,-7.24
190,-21.11,-2.88,-7.32
200,-27.06,-1.66,-6.79
210,-29.31,-1.36,-5.51
220,-28.64,-2.23,-5.91
230,-27.44,-2.51,-6.77
240,-25.81,-3.04,-6.99
250,-24.13,-3.2,-6.43
260,-22.93,-3.15,-5.65
270,-21.35,-3.18,-4.5
280,-19.62,-3.52,-2.89
290,-18.97,-3.49,-1.05
300,-19.89,-3.11,1.24
310,-21.16,-2.84,4.07
320,-21.91,-2.71,7.26
330,-21.41,-2.98,10.23
340,-20.29,-2.38,12.64
350,-17.87,-4.01,15.11
360,-14.09,-5.92,17.29
370,-8.25,-6.95,19.5
380,-4.6,-6.68,20.81
390,-1.47,-5.85,20.86
400,-0.72,-4.6,19.55
410,0.66,-4.06,17.43
420,2.09,-4.25,14.63
430,4.4,-3.41,10.13
440,5.07,-3.07,8.13
450,5.33,-2.43,5.81
460,5.61,-2.15,3.7
470,5.47,-1.78,1.64
480,5.16,-1.25,-0.6
490,5.54,-0.87,-2.37
500,5.63,-0.73,-3.97
510,4.72,0.06,-6.3
520,4.09,0.31,-7.82
530,3.42,-0.11,-8.04
540,2.66,-0.47,-7.02
550,1.86,-2.69,-6.88
560,1.03,-4.63,-7.17
570,-1.17,-6.15,-7.91
580,-5.26,-7.66,-8.76
590,-11.08,-8.15,-8.99
600,-16.76,-6.43,-9.37
610,-23.5,-3.81,-10.85
620,-27.81,-0.2,-9.16
630,-30.86,1.3,-7.61
640,-30.48,2.04,-7.35
650,-29.27,2.04,-6.25
660,-26.4,2.26,-5.26
670,-22.83,2.21,-4.55
680,-19.38,2.23,-3.64
690,-16.63,2.38,-2.69
700,-14.33,2.51,-1.69
710,-13.44,3.04,-0.76
720,-12.81,3.59,0.19
730,-12.4,3.86,0.76
740,-11.97,4.05,1.31
750,-11.62,4.2,1.82
760,-11.16,4.25,2.13
770,-10.67,4.16,2.52
780,-10.61,4.28,2.39
790,-10.01,4.0,1.87
800,-9.35,3.62,1.09
810,-8.72,3.32,0.45
820,-8.05,2.91,-0.05
830,-7.35,2.67,-0.67
840,-6.91,2.58,-1.45
850,-6.71,2.54,-2.13
860,-6.44,2.51,-2.74
870,-6.25,2.56,-3.08
880,-6.11,2.67,-3.41
890,-6.01,2.78,-3.75
900,-6.01,2.81,-3.92
910,-6.04,2.85,-3.92
920,-6.21,2.96,-3.78
930,-6.42,3.13,-3.54
940,-6.79,3.39,-3.21
950,-7.24,3.69,-2.92
960,-7.72,3.94,-2.78
970,-8.18,4.12,-2.8
980,-8.46,4.2,-2.76
990,-8.58,4.28,-2.68
1000,-8.65,4.34,-2.58
