timestamp,x,y,z
0,-10.52,6.54,2.15
10,-10.21,6.5,2.09
20,-9.95,6.46,1.93
30,-9.62,6.38,1.79
40,-9.13,6.35,1.5
50,-8.52,6.22,1.28
60,-7.88,6.06,1.01
70,-6.96,6.05,0.74
80,-6.03,6.03,0.45
90,-5.12,5.88,0.24
100,-4.03,5.61,-0.1
110,-3.0,5.23,-0.45
120,-1.98,4.76,-0.79
130,-0.18,4.3,-1.18
140,1.76,3.21,-1.86
150,2.89,2.49,-2.83
160,3.11,1.32,-3.99
170,2.86,-0.26,-4.75
180,1.5,-3.02,-4.9
190,0.06,-5.1,-4.43
200,-2.09,-7.02,-2.79
210,-4.98,-8.92,-0.24
220,-8.87,-10.49,2.68
230,-14.07,-10.94,5.93
240,-19.44,-9.86,10.23
250,-25.04,-6.58,14.57
260,-28.59,-3.28,18.65
270,-28.7,-0.33,20.99
280,-27.47,0.85,21.14
290,-24.99,1.07,20.01
300,-21.51,-0.09,18.24
310,-18.23,-1.46,16.68
320,-15.77,-2.6,15.01
330,-13.68,-2.39,13.79
340,-12.33,-1.91,12.83
350,-11.72,-0.81,12.25
360,-11.11,0.84,12.21
370,-10.03,2.43,12.61
380,-8.67,4.07,13.3
390,-7.1,5.91,14.36
400,-5.31,7.22,15.64
410,-4.08,7.96,16.77
420,-3.29,8.04,17.34
430,-1.18,7.35,17.3
440,0.82,5.93,16.8
450,2.74,4.95,15.6
460,3.8,4.37,13.63
470,4.38,3.78,11.45
480,4.85,3.26,9.58
490,4.82,2.86,7.93
500,4.4,2.15,6.45
510,3.73,1.4,5.44
520,3.23,0.57,4.58
530,2.15,-0.25,3.7
540,0.8,-1.18,2.45
550,-0.76,-2.09,0.61
560,-2.0,-2.76,-1.18
570,-3.2,-2.99,-2.46
580,-4.1,-3.22,-3.49
590,-4.92,-3.64,-4.09
600,-6.03,-4.21,-4.09
610,-8.11,-4.98,-4.11
620,-10.71,-5.11,-4.45
630,-13.27,-5.05,-4.06
640,-15.35,-5.0,-3.27
650,-16.5,-4.57,-2.13
660,-17.18,-3.93,-1.22
670,-17.68,-2.86,-0.63
680,-18.01,-1.71,-0.11
690,-18.24,-0.45,0.66
700,-18.72,1.33,1.87
710,-18.44,3.61,3.86
720,-18.11,4.78,5.09
730,-17.51,5.88,6.05
740,-16.46,6.46,6.78
750,-15.14,6.36,7.2
760,-14.05,6.19,7.33
770,-13.36,6.16,7.35
780,-12.51,6.12,7.4
790,-11.68,5.99,7.34
800,-10.77,5.85,7.29
810,-10.22,5.42,6.96
820,-9.69,5.32,6.84
830,-9.42,5.17,6.45
840,-9.16,4.86,6.04
850,-8.84,4.53,5.56
860,-8.53,4.19,4.98
870,-8.33,3.83,4.28
880,-8.22,3.46,3.61
890,-8.1,3.02,3.13
900,-7.86,2.78,2.71
910,-7.76,2.51,2.12
920,-7.73,2.27,1.55
930,-7.78,2.0,1.06
940,-7.81,1.82,0.68
950,-7.68,1.61,0.37
960,-7.65,1.47,0.03
970,-7.71,1.33,-0.28
980,-7.71,1.24,-0.47
990,-7.75,1.21,-0.67
1000,-7.81,1.25,-0.88
