timestamp,x,y,z
0,2.34,3.91,12.35
10,2.7,4.32,13.22
20,3.08,4.89,13.63
30,3.4,4.81,13.45
40,3.7,4.62,12.54
50,3.72,4.0,11.16
60,3.63,3.54,9.78
70,3.41,2.81,8.37
80,2.87,2.56,6.59
90,1.87,3.1,4.64
100,1.45,3.47,3.89
110,1.23,3.69,2.94
120,1.06,4.18,1.85
130,1.09,4.03,0.97
140,1.08,3.95,0.06
150,0.89,3.43,-0.83
160,0.22,2.03,-2.39
170,-1.02,0.58,-4.53
180,-1.72,0.05,-5.2
190,-1.35,-1.28,-4.24
200,-1.29,-3.15,-2.39
210,-1.89,-4.36,-0.3
220,-3.19,-6.22,2.26
230,-4.94,-6.39,6.42
240,-6.68,-4.61,13.71
250,-6.75,-2.32,21.08
260,-4.09,-1.14,26.49
270,0.96,-1.31,29.39
280,4.87,-2.48,31.64
290,6.4,-2.84,31.38
300,5.86,-3.11,28.94
310,5.2,-3.7,25.95
320,5.58,-4.81,22.8
330,6.15,-5.16,20.67
340,7.36,-5.08,20.2
350,9.36,-5.81,19.81
360,12.17,-5.94,18.72
370,15.09,-5.79,16.53
380,17.03,-6.17,14.14
390,17.49,-6.61,10.85
400,16.26,-6.2,7.12
410,14.17,-5.8,4.03
420,11.63,-4.54,2.14
430,9.52,-3.1,0.85
440,8.13,-1.89,0.21
450,7.1,-1.07,-0.8
460,6.65,-0.36,-1.7
470,6.61,-0.29,-3.32
480,6.96,-0.13,-4.76
490,6.21,-1.61,-6.58
500,4.41,-2.17,-7.57
510,1.75,-2.0,-8.71
520,-0.92,-1.24,-8.62
530,-1.6,-2.16,-7.74
540,-1.81,-2.77,-5.72
550,-2.12,-5.42,-2.94
560,-2.88,-7.0,0.85
570,-3.99,-7.49,4.82
580,-5.6,-6.47,9.72
590,-5.55,-3.5,15.89
600,-3.45,-1.98,20.76
610,-0.62,-1.04,25.3
620,2.32,-0.2,27.21
630,4.38,-0.24,26.17
640,5.87,-0.77,24.08
650,6.76,-1.5,20.92
660,6.68,-2.26,17.99
670,6.15,-2.32,15.11
680,5.41,-2.22,13.1
690,5.45,-2.27,12.56
700,6.56,-1.91,12.28
710,7.84,-1.28,12.22
720,8.54,-1.01,12.29
730,8.83,-0.56,12.07
740,8.57,-0.39,11.61
750,8.25,0.05,10.82
760,7.72,0.33,9.92
770,7.29,0.31,9.17
780,7.03,0.51,8.52
790,6.43,0.82,7.92
800,5.95,1.15,7.58
810,5.22,1.16,7.42
820,4.34,1.22,7.29
830,3.71,1.17,7.13
840,3.08,1.15,7.12
850,2.36,1.18,7.11
860,1.71,1.33,7.27
870,1.27,1.43,7.27
880,1.1,1.55,7.45
890,1.05,1.8,7.81
900,0.87,1.94,8.06
910,0.68,2.17,8.36
920,0.7,2.32,8.54
930,0.77,2.35,8.62
940,0.59,2.49,8.49
950,0.65,2.49,8.37
960,0.7,2.46,8.18
970,0.77,2.39,8.12
980,1.06,2.36,8.12
990,1.26,2.29,8.09
1000,1.39,2.29,8.1
