timestamp,x,y,z
0,1.56,3.5,12.01
10,1.97,3.79,12.69
20,2.25,4.1,13.1
30,2.61,4.29,13.02
40,2.99,4.36,12.52
50,3.15,4.32,11.66
60,3.08,4.02,10.54
70,3.02,4.02,9.14
80,3.02,3.87,7.7
90,3.18,3.28,6.52
100,3.3,3.67,5.15
110,3.29,3.72,3.94
120,3.11,3.41,2.81
130,2.48,3.14,1.59
140,1.69,2.76,0.16
150,1.0,2.28,-1.22
160,0.0,1.49,-2.46
170,-1.06,0.39,-3.69
180,-1.49,-1.07,-4.1
190,-2.04,-2.21,-3.52
200,-3.11,-3.28,-2.02
210,-4.7,-4.22,0.53
220,-7.38,-4.65,4.55
230,-10.05,-4.14,10.57
240,-11.43,-2.36,18.12
250,-8.92,-1.05,24.2
260,-4.36,-2.23,28.14
270,-0.78,-2.81,30.1
280,1.35,-3.47,30.11
290,2.74,-2.79,30.04
300,3.2,-3.69,28.19
310,4.62,-4.46,26.07
320,6.16,-6.17,24.13
330,8.83,-6.63,22.53
340,11.87,-6.49,20.94
350,14.2,-6.52,18.88
360,15.94,-6.86,16.27
370,16.59,-6.22,13.8
380,17.42,-4.9,11.22
390,17.06,-3.76,8.57
400,15.4,-3.0,6.53
410,12.67,-2.29,5.59
420,10.3,-1.21,4.24
430,8.83,-0.5,2.59
440,7.76,0.05,1.51
450,6.68,0.33,0.22
460,6.1,0.34,-1.23
470,5.42,0.2,-2.26
480,4.51,0.24,-2.89
490,2.75,0.17,-3.36
500,0.93,-0.19,-3.55
510,-0.64,-0.87,-3.81
520,-2.02,-1.43,-3.77
530,-3.31,-2.26,-2.86
540,-4.67,-3.32,-1.61
550,-6.59,-4.1,1.19
560,-9.25,-4.03,5.74
570,-10.46,-4.03,10.15
580,-10.01,-2.57,14.82
590,-8.29,-0.88,17.76
600,-6.29,-0.4,20.8
610,-3.55,-0.18,21.05
620,-1.72,0.28,20.63
630,-0.72,0.92,20.59
640,0.17,1.35,20.73
650,1.3,1.47,20.16
660,2.29,1.09,18.89
670,3.93,0.76,17.32
680,5.59,0.56,16.15
690,6.43,0.4,15.06
700,6.56,0.69,13.95
710,6.06,0.99,12.77
720,5.47,0.98,11.65
730,5.39,1.04,10.62
740,5.4,1.23,9.81
750,5.14,1.61,9.22
760,4.48,2.0,8.87
770,3.71,2.15,8.7
780,2.6,2.55,8.47
790,2.1,2.44,8.39
800,1.56,2.48,8.28
810,1.09,2.5,8.1
820,0.88,2.1,7.89
830,0.55,2.03,7.61
840,0.11,1.96,7.38
850,-0.43,1.92,7.33
860,-0.81,1.9,7.52
870,-0.89,1.83,7.66
880,-0.91,1.81,7.74
890,-0.93,1.87,7.77
900,-1.0,1.98,8.03
910,-0.95,2.16,8.37
920,-0.8,2.24,8.5
930,-0.52,2.26,8.46
940,-0.3,2.3,8.47
950,0.01,2.36,8.62
960,0.25,2.4,8.66
970,0.33,2.41,8.62
980,0.43,2.44,8.6
990,0.41,2.44,8.64
1000,0.5,2.57,8.8
