timestamp,x,y,z
0,-11.18,2.79,-0.85
10,-12.17,3.19,-0.94
20,-13.14,3.57,-0.88
30,-13.95,3.89,-0.84
40,-14.68,4.21,-0.61
50,-15.07,4.29,-0.14
60,-15.02,4.29,0.34
70,-14.65,4.32,0.8
80,-13.91,4.25,1.28
90,-12.66,4.15,2.01
100,-11.32,4.06,2.55
110,-9.48,3.87,3.04
120,-7.54,3.63,3.7
130,-6.18,3.72,3.88
140,-5.11,4.04,3.92
150,-4.23,4.25,3.65
160,-3.07,4.43,3.41
170,-1.51,4.18,3.96
180,0.46,3.33,4.54
190,2.46,2.24,3.85
200,4.39,1.18,1.9
210,6.12,0.2,-0.38
220,8.12,-1.13,-2.91
230,8.2,-2.41,-4.2
240,6.45,-4.75,-5.93
250,2.87,-6.0,-7.4
260,-1.53,-7.52,-9.21
270,-7.3,-8.32,-10.25
280,-14.95,-7.64,-9.94
290,-22.25,-6.54,-7.85
300,-27.58,-5.43,-4.87
310,-30.08,-4.97,-2.15
320,-30.96,-4.75,1.38
330,-31.05,-4.97,3.53
340,-29.45,-5.79,5.53
350,-27.14,-6.53,6.91
360,-24.57,-7.3,8.42
370,-22.23,-7.91,9.09
380,-21.58,-8.01,9.22
390,-22.37,-7.53,9.78
400,-23.26,-7.17,11.79
410,-23.79,-6.65,14.37
420,-23.24,-6.99,17.58
430,-17.61,-7.13,20.65
440,-15.0,-7.26,22.84
450,-11.16,-8.45,25.57
460,-5.45,-9.71,28.3
470,-2.19,-9.51,28.51
480,-0.6,-8.19,24.76
490,0.61,-7.16,19.83
500,1.43,-6.94,15.46
510,2.26,-6.4,12.0
520,2.84,-6.05,8.82
530,3.29,-5.59,5.89
540,3.83,-5.22,3.56
550,4.78,-4.7,1.33
560,5.75,-4.56,-0.29
570,6.3,-4.38,-2.59
580,6.65,-4.04,-5.11
590,6.57,-3.68,-6.88
600,6.12,-3.23,-8.71
610,5.61,-3.25,-10.31
620,5.15,-4.13,-11.02
630,3.81,-5.0,-10.81
640,2.05,-5.86,-9.6
650,-0.05,-7.41,-9.07
660,-2.91,-8.11,-8.94
670,-6.01,-8.72,-8.53
680,-8.88,-9.07,-7.73
690,-11.79,-9.37,-5.89
700,-16.44,-8.8,-4.01
710,-21.1,-6.96,-1.93
720,-24.73,-6.07,1.06
730,-28.06,-4.18,3.36
740,-29.83,-2.94,5.69
750,-28.97,-1.61,6.95
760,-27.87,-1.29,8.09
770,-25.58,-0.96,8.46
780,-22.82,-0.72,8.58
790,-20.18,-0.56,8.77
800,-18.03,-0.34,8.39
810,-16.15,-0.15,7.95
820,-14.1,-0.14,7.5
830,-12.29,0.05,6.75
840,-10.96,0.31,6.05
850,-9.93,0.64,5.5
860,-9.3,0.91,5.3
870,-9.43,1.27,5.3
880,-9.9,1.71,5.03
890,-9.93,1.95,4.61
900,-9.71,1.95,4.36
910,-9.12,1.84,3.91
920,-8.61,1.74,3.45
930,-8.26,1.66,2.97
940,-8.02,1.58,2.49
950,-7.84,1.48,1.98
960,-7.66,1.33,1.59
970,-7.42,1.28,1.36
980,-7.4,1.28,1.06
990,-7.3,1.3,0.77
1000,-7.24,1.34,0.55
