timestamp,x,y,z
0,-3.78,2.48,-11.68
10,-3.69,2.41,-11.38
20,-3.57,2.34,-11.1
30,-3.3,2.22,-10.84
40,-3.03,2.14,-10.64
50,-2.73,2.05,-10.41
60,-2.45,1.93,-10.1
70,-2.25,1.84,-9.8
80,-2.09,1.75,-9.54
90,-1.91,1.73,-9.36
100,-1.71,1.66,-9.24
110,-1.46,1.63,-9.2
120,-1.18,1.51,-9.16
130,-0.94,1.46,-9.02
140,-0.74,1.38,-8.91
150,-0.62,1.36,-8.91
160,-0.53,1.29,-9.0
170,-0.36,1.27,-8.95
180,0.04,1.21,-8.9
190,0.54,1.17,-8.97
200,1.03,1.08,-8.99
210,1.32,1.07,-8.89
220,1.66,1.1,-8.81
230,2.01,1.22,-8.87
240,2.36,1.34,-8.96
250,2.6,1.52,-8.94
260,2.78,1.62,-8.87
270,2.96,1.73,-9.06
280,3.16,1.93,-9.57
290,3.28,2.2,-10.22
300,3.3,2.56,-10.99
310,3.29,3.05,-11.98
320,3.21,3.49,-12.8
330,3.3,3.74,-13.31
340,3.45,3.88,-13.41
350,3.74,4.1,-13.61
360,3.47,4.22,-14.02
370,3.35,4.36,-14.55
380,2.33,4.31,-14.87
390,1.37,4.45,-15.08
400,-0.22,4.53,-15.43
410,-1.46,4.75,-16.09
420,-2.6,4.48,-16.65
430,-3.81,4.18,-16.58
440,-4.78,3.68,-16.37
450,-5.9,3.31,-16.12
460,-7.11,2.99,-15.46
470,-7.9,2.81,-14.89
480,-8.68,2.34,-14.16
490,-8.69,2.28,-13.7
500,-8.61,1.88,-12.67
510,-8.75,1.37,-12.01
520,-8.78,0.96,-11.42
530,-8.33,0.71,-11.03
540,-8.14,0.45,-10.45
550,-8.48,0.42,-9.91
560,-8.84,0.13,-10.16
570,-8.21,0.03,-9.23
580,-8.02,-0.23,-8.67
590,-7.84,-0.44,-7.9
600,-7.66,-0.59,-7.17
610,-7.49,-0.63,-6.73
620,-7.27,-0.62,-6.45
630,-6.99,-0.62,-6.45
640,-6.5,-0.71,-6.45
650,-5.63,-0.74,-6.43
660,-4.97,-0.87,-6.26
670,-4.22,-0.89,-6.17
680,-3.62,-0.87,-6.14
690,-3.02,-0.83,-6.08
700,-2.61,-0.81,-5.91
710,-2.25,-0.72,-5.94
720,-1.89,-0.57,-6.17
730,-1.55,-0.33,-6.39
740,-1.26,-0.18,-6.55
750,-0.67,0.02,-6.8
760,-0.53,0.21,-7.03
770,-0.17,0.32,-7.25
780,0.24,0.39,-7.25
790,0.84,0.54,-7.31
800,1.3,0.71,-7.2
810,1.86,0.84,-7.21
820,2.55,0.97,-7.32
830,3.17,1.13,-7.65
840,3.81,1.25,-8.02
850,4.27,1.35,-8.46
860,4.68,1.58,-8.92
870,4.77,1.81,-9.34
880,4.41,2.39,-9.43
890,5.11,2.3,-11.5
900,4.6,2.8,-12.17
910,4.43,2.93,-12.84
920,4.03,3.17,-13.4
930,3.4,3.33,-13.77
940,2.85,3.58,-13.55
950,3.35,3.53,-13.55
960,2.71,3.85,-12.71
970,2.33,3.88,-11.83
980,2.04,3.51,-11.76
990,1.86,3.42,-12.31
1000,1.52,3.66,-13.3
