timestamp,x,y,z
0,-8.01,7.44,4.68
10,-7.64,7.43,4.51
20,-7.12,7.37,4.1
30,-6.43,7.24,3.57
40,-5.52,7.05,3.13
50,-4.35,6.9,2.75
60,-3.27,6.79,2.26
70,-2.3,6.67,1.62
80,-1.27,6.3,0.89
90,0.16,5.58,0.18
100,1.72,4.29,-0.58
110,3.13,2.87,-1.55
120,3.66,1.05,-2.82
130,3.37,-0.65,-3.89
140,2.16,-2.89,-4.53
150,0.57,-3.89,-4.02
160,-1.18,-6.16,-2.29
170,-3.48,-7.88,-0.24
180,-6.81,-9.05,2.13
190,-10.31,-9.88,4.7
200,-14.99,-10.18,8.25
210,-20.58,-7.6,12.73
220,-25.71,-3.46,17.3
230,-27.55,0.56,21.21
240,-26.84,2.14,23.02
250,-25.09,2.49,22.54
260,-23.26,1.73,20.96
270,-20.69,0.18,18.55
280,-17.82,-0.78,15.83
290,-15.96,-1.73,13.89
300,-14.59,-1.6,13.41
310,-13.6,-1.08,13.02
320,-12.42,-0.16,13.31
330,-11.13,1.26,14.1
340,-9.62,3.4,15.41
350,-7.91,5.48,16.92
360,-5.57,6.68,18.69
370,-3.02,7.2,20.08
380,-0.48,7.03,20.74
390,2.12,6.39,20.69
400,4.99,5.01,19.83
410,7.63,4.24,18.0
420,8.95,3.76,15.63
430,8.51,3.19,13.04
440,7.97,2.74,10.76
450,7.0,1.97,8.73
460,6.05,0.85,7.34
470,4.94,-0.73,5.82
480,3.51,-2.66,3.82
490,2.07,-4.17,1.74
500,0.58,-5.58,-0.61
510,-1.68,-6.01,-3.27
520,-3.63,-6.0,-5.19
530,-5.39,-6.68,-5.76
540,-6.78,-7.34,-4.56
550,-8.41,-8.08,-2.97
560,-10.62,-8.78,-1.17
570,-13.19,-9.28,0.59
580,-15.97,-9.16,2.38
590,-19.61,-7.19,4.62
600,-22.4,-3.45,6.56
610,-23.46,0.41,8.4
620,-23.25,2.31,9.73
630,-21.86,3.53,10.47
640,-20.2,4.74,10.93
650,-17.86,5.03,11.33
660,-15.47,4.67,11.53
670,-12.69,3.85,12.07
680,-9.63,3.74,12.92
690,-7.35,4.05,13.3
700,-6.39,4.48,13.09
710,-5.86,5.15,12.93
720,-5.88,5.83,12.22
730,-5.91,6.56,11.76
740,-5.9,6.95,11.38
750,-5.84,7.18,11.18
760,-6.02,6.72,10.66
770,-6.13,6.34,10.05
780,-6.39,5.79,9.2
790,-6.6,5.14,8.35
800,-6.67,4.5,7.44
810,-6.67,3.94,6.58
820,-6.73,3.54,5.83
830,-6.89,3.23,5.2
840,-7.09,2.99,4.53
850,-7.34,2.77,3.88
860,-7.55,2.55,3.28
870,-7.62,2.31,2.85
880,-7.66,2.15,2.41
890,-7.74,2.0,1.93
900,-7.77,1.84,1.45
910,-7.71,1.68,1.13
920,-7.64,1.66,1.01
930,-7.55,1.7,0.79
940,-7.6,1.84,0.81
950,-7.78,2.26,1.1
960,-7.8,2.75,1.27
970,-7.8,3.12,1.45
980,-7.81,3.24,1.63
990,-7.87,3.41,1.85
1000,-7.9,3.76,2.05
