timestamp,x,y,z
0,-11.99,3.9,0.65
10,-12.69,4.19,0.73
20,-13.51,4.52,0.83
30,-13.76,4.68,1.21
40,-13.25,4.63,1.9
50,-12.13,4.47,2.93
60,-10.91,4.49,3.99
70,-9.83,4.56,5.07
80,-8.85,4.71,5.79
90,-7.98,4.8,5.66
100,-6.91,4.55,5.22
110,-5.54,4.15,4.63
120,-3.96,3.6,3.89
130,-2.18,3.0,2.83
140,-0.2,2.4,1.19
150,1.67,1.71,-0.94
160,3.34,1.3,-3.32
170,4.73,0.57,-5.27
180,4.82,-0.42,-6.31
190,2.99,-1.58,-7.35
200,0.23,-2.71,-8.26
210,-2.48,-3.93,-8.89
220,-5.36,-4.78,-8.99
230,-10.01,-5.0,-8.62
240,-16.2,-4.01,-8.66
250,-22.23,-3.38,-6.37
260,-26.09,-3.94,-3.18
270,-28.93,-4.32,-0.29
280,-30.65,-5.43,2.95
290,-30.56,-7.31,6.19
300,-28.88,-8.9,8.8
310,-26.87,-9.61,10.62
320,-25.18,-9.46,11.88
330,-24.04,-8.84,12.29
340,-24.29,-7.79,12.39
350,-25.09,-6.94,13.04
360,-25.35,-6.66,14.92
370,-24.53,-6.86,17.79
380,-22.15,-7.98,20.96
390,-16.79,-9.08,22.52
400,-9.54,-11.71,25.09
410,-4.71,-12.22,27.31
420,-1.15,-12.73,25.74
430,2.21,-12.6,21.63
440,3.83,-11.78,16.86
450,5.32,-10.51,11.42
460,7.72,-8.91,6.14
470,11.1,-8.06,1.96
480,12.79,-6.48,-1.82
490,13.35,-4.55,-5.4
500,13.21,-2.98,-7.07
510,12.71,-2.37,-6.53
520,12.17,-2.59,-5.66
530,10.65,-2.9,-6.09
540,8.65,-3.44,-7.33
550,6.07,-3.95,-8.18
560,4.01,-4.84,-8.75
570,2.77,-6.18,-8.57
580,1.37,-7.86,-7.96
590,-1.98,-9.33,-7.68
600,-7.15,-9.83,-7.39
610,-13.11,-9.3,-6.4
620,-17.46,-8.69,-4.6
630,-20.25,-8.43,-3.0
640,-23.59,-6.83,-1.83
650,-26.39,-6.8,0.02
660,-28.19,-5.36,2.03
670,-30.01,-3.64,2.85
680,-30.5,-2.32,4.25
690,-28.37,-1.92,5.35
700,-24.92,-1.75,5.2
710,-21.45,-1.54,5.42
720,-19.28,-0.71,6.47
730,-17.82,0.55,8.19
740,-15.86,0.87,8.77
750,-14.68,1.31,8.84
760,-13.71,1.81,8.03
770,-12.32,1.95,7.5
780,-11.0,1.94,6.85
790,-10.36,2.2,5.81
800,-9.79,2.43,4.51
810,-8.89,2.43,3.56
820,-8.12,2.37,2.9
830,-7.83,2.46,2.3
840,-7.85,2.55,1.76
850,-7.78,2.58,1.35
860,-7.76,2.47,1.01
870,-7.7,2.38,0.61
880,-7.57,2.21,0.26
890,-7.38,1.98,-0.03
900,-7.28,1.83,-0.29
910,-7.23,1.73,-0.53
920,-7.27,1.73,-0.77
930,-7.48,1.81,-0.91
940,-7.8,1.92,-1.03
950,-8.05,2.03,-1.12
960,-8.29,2.04,-1.04
970,-8.5,2.1,-0.89
980,-8.61,2.2,-0.73
990,-8.54,2.24,-0.64
1000,-8.38,2.24,-0.5
