timestamp,x,y,z
0,-1.56,7.62,-6.18
10,-1.67,7.64,-6.15
20,-1.83,7.65,-6.14
30,-2.05,7.72,-6.22
40,-2.26,7.84,-6.28
50,-2.33,8.04,-6.38
60,-2.31,8.26,-6.54
70,-2.23,8.65,-6.79
80,-1.99,9.39,-7.21
90,-1.34,10.15,-7.68
100,-0.19,10.79,-8.36
110,1.72,11.89,-9.47
120,3.62,12.93,-10.71
130,5.08,13.91,-12.27
140,5.56,14.94,-13.32
150,5.51,15.28,-13.87
160,5.23,15.3,-13.65
170,5.04,14.88,-12.97
180,4.87,14.19,-12.07
190,4.24,13.24,-11.2
200,2.86,12.29,-10.37
210,1.1,11.42,-9.59
220,-0.84,10.52,-8.77
230,-3.01,9.48,-8.16
240,-4.77,8.84,-7.69
250,-6.08,8.32,-7.29
260,-6.8,7.76,-6.8
270,-7.21,6.96,-6.04
280,-7.52,5.99,-5.0
290,-8.13,4.74,-3.74
300,-9.19,3.18,-2.32
310,-10.62,1.6,-0.51
320,-12.28,0.45,1.42
330,-14.69,-0.8,3.2
340,-17.89,-2.02,5.31
350,-21.36,-3.18,7.77
360,-24.35,-4.95,10.07
370,-26.0,-5.85,11.89
380,-26.57,-6.66,12.5
390,-26.06,-7.36,12.0
400,-25.26,-7.71,10.19
410,-23.93,-8.0,7.3
420,-22.55,-8.32,4.23
430,-20.94,-8.43,1.3
440,-18.84,-8.25,-1.93
450,-15.37,-7.8,-6.28
460,-10.11,-6.92,-12.07
470,-2.32,-5.93,-19.35
480,6.96,-2.52,-29.53
490,16.23,2.33,-41.75
500,24.61,6.01,-50.39
510,31.27,7.36,-53.85
520,35.52,8.43,-53.21
530,37.57,8.43,-50.84
540,37.75,7.89,-47.79
550,35.3,7.0,-43.54
560,30.66,6.37,-37.98
570,24.58,5.15,-31.47
580,17.92,3.48,-25.19
590,12.06,1.56,-19.6
600,6.41,0.26,-15.16
610,1.31,-0.62,-11.58
620,-3.96,-1.42,-8.25
630,-9.5,-1.82,-4.74
640,-14.28,-1.7,-1.04
650,-17.86,-1.38,2.98
660,-20.73,-1.27,6.48
670,-24.01,-1.25,8.86
680,-28.4,-0.84,10.61
690,-33.12,-0.06,12.36
700,-36.97,0.98,13.86
710,-39.23,1.59,15.17
720,-38.44,1.52,16.55
730,-35.27,0.87,16.84
740,-31.63,0.06,15.64
750,-28.06,-0.74,12.9
760,-24.43,-1.36,9.49
770,-21.0,-1.79,6.0
780,-18.14,-2.72,2.93
790,-15.59,-3.42,-0.6
800,-12.59,-4.51,-4.27
810,-8.9,-5.64,-7.69
820,-2.79,-7.16,-12.17
830,4.51,-7.23,-19.03
840,10.24,-5.15,-29.23
850,15.61,-1.66,-38.56
860,20.83,1.23,-43.16
870,23.83,4.06,-43.47
880,24.26,4.83,-40.65
890,22.98,4.81,-36.98
900,20.77,4.8,-33.61
910,18.18,4.98,-30.5
920,15.54,4.62,-27.09
930,12.4,4.34,-23.7
940,9.23,4.13,-20.63
950,6.07,4.25,-18.12
960,3.21,4.26,-16.16
970,0.81,4.59,-14.7
980,-1.14,5.03,-13.28
990,-2.85,5.48,-11.88
1000,-4.34,5.6,-10.35
