timestamp,x,y,z
0,1.53,10.37,-8.59
10,3.46,11.53,-9.69
20,5.24,12.96,-11.19
30,6.37,14.54,-12.53
40,6.55,16.11,-13.32
50,6.29,17.57,-13.5
60,6.09,18.53,-13.53
70,6.2,18.89,-13.51
80,6.31,18.73,-13.3
90,6.15,18.09,-12.69
100,5.34,16.72,-11.77
110,3.76,14.95,-10.53
120,1.53,12.97,-8.78
130,-1.2,11.05,-6.81
140,-4.2,8.83,-4.6
150,-7.79,6.41,-2.05
160,-12.1,3.64,0.89
170,-16.65,1.01,3.36
180,-22.15,-1.21,4.26
190,-29.57,-2.33,4.08
200,-35.66,-3.38,3.86
210,-39.68,-3.83,4.24
220,-40.68,-4.53,5.1
230,-39.11,-5.84,5.56
240,-35.98,-7.79,5.44
250,-32.16,-9.88,4.85
260,-28.84,-11.9,3.63
270,-25.49,-13.19,1.62
280,-22.43,-14.06,-0.83
290,-19.11,-14.76,-4.27
300,-15.5,-15.24,-8.34
310,-10.35,-15.44,-12.72
320,-3.42,-13.65,-18.23
330,4.85,-10.08,-26.24
340,13.08,-3.51,-36.3
350,20.66,2.8,-46.18
360,25.24,7.47,-51.53
370,28.04,9.58,-52.73
380,29.54,9.96,-50.89
390,29.79,10.4,-48.38
400,29.72,10.37,-45.74
410,28.63,9.29,-42.41
420,26.02,7.58,-38.42
430,22.22,5.66,-34.19
440,17.52,3.43,-30.15
450,12.72,1.32,-26.13
460,8.58,-0.63,-22.29
470,4.84,-2.0,-18.7
480,1.35,-3.0,-15.29
490,-1.91,-3.53,-11.73
500,-4.73,-3.27,-8.19
510,-7.12,-2.47,-4.93
520,-9.25,-1.11,-2.21
530,-11.37,0.07,0.01
540,-13.77,0.85,2.29
550,-16.35,1.27,5.36
560,-19.46,1.3,8.89
570,-23.25,1.45,12.67
580,-26.63,1.52,16.29
590,-30.45,1.44,19.44
600,-33.99,1.59,21.76
610,-36.56,1.53,22.2
620,-37.81,1.23,20.47
630,-37.21,1.11,17.26
640,-34.79,0.77,12.82
650,-30.72,0.16,7.58
660,-25.88,-0.76,1.78
670,-20.88,-1.55,-4.23
680,-16.12,-2.79,-10.69
690,-11.4,-2.29,-17.19
700,-5.01,-0.94,-24.5
710,4.17,0.19,-32.73
720,11.82,3.06,-38.43
730,17.03,5.1,-40.35
740,20.28,7.68,-40.96
750,23.83,8.65,-40.78
760,27.92,8.78,-39.72
770,29.31,8.44,-38.38
780,27.21,7.27,-34.74
790,23.18,5.63,-29.97
800,17.67,4.46,-25.44
810,12.04,3.32,-21.38
820,7.97,2.78,-18.3
830,4.99,2.55,-15.7
840,2.66,2.53,-13.94
850,0.52,2.96,-13.0
860,-1.5,3.34,-12.26
870,-3.78,3.71,-11.45
880,-5.85,4.03,-10.49
890,-7.37,4.5,-9.64
900,-8.46,5.03,-8.94
910,-9.07,5.64,-8.24
920,-9.18,6.11,-7.58
930,-9.15,6.44,-6.92
940,-8.96,6.7,-6.32
950,-8.67,6.86,-5.8
960,-8.27,6.92,-5.4
970,-7.92,6.88,-5.13
980,-7.58,6.87,-4.94
990,-7.25,6.9,-4.84
1000,-6.92,6.95,-4.81
