timestamp,x,y,z
0,-7.74,12.66,9.11
10,-9.05,12.26,9.9
20,-10.53,11.91,10.81
30,-11.96,11.13,11.66
40,-13.11,10.19,12.56
50,-13.43,8.95,13.78
60,-14.11,7.9,13.78
70,-12.24,6.52,16.6
80,-11.99,4.67,16.48
90,-9.86,3.37,17.21
100,-7.31,1.84,16.44
110,-5.11,0.72,14.7
120,-2.84,-0.28,12.61
130,0.02,-0.82,10.64
140,2.69,-1.74,8.29
150,4.96,-2.86,6.24
160,7.0,-3.55,3.65
170,8.97,-4.46,0.7
180,11.61,-5.08,-2.45
190,14.37,-5.0,-5.78
200,17.78,-4.55,-8.37
210,20.5,-4.14,-9.98
220,23.6,-3.47,-10.53
230,26.61,-2.61,-10.3
240,28.85,-1.94,-9.67
250,29.92,-1.31,-8.67
260,30.1,-1.16,-7.24
270,29.44,-1.4,-5.48
280,28.28,-1.88,-3.69
290,26.54,-2.47,-1.86
300,23.63,-3.13,0.51
310,19.44,-4.27,2.84
320,15.28,-5.43,5.31
330,11.03,-6.31,7.72
340,6.36,-6.99,10.2
350,1.03,-7.55,12.89
360,-4.78,-7.24,15.47
370,-10.81,-6.94,18.13
380,-15.96,-6.3,20.14
390,-20.6,-5.45,21.66
400,-24.6,-3.93,22.77
410,-26.7,-2.03,23.47
420,-26.58,0.27,23.65
430,-25.16,1.04,23.02
440,-23.83,2.15,21.74
450,-22.15,1.54,19.77
460,-19.86,0.75,17.62
470,-16.97,0.21,16.05
480,-13.49,0.63,14.75
490,-9.86,1.26,13.72
500,-6.41,2.01,12.4
510,-2.96,2.42,10.7
520,0.4,2.7,8.79
530,1.92,2.54,7.12
540,3.83,3.29,5.45
550,5.53,4.23,4.22
560,8.35,5.64,2.55
570,11.97,6.96,1.32
580,15.95,8.95,0.4
590,20.31,11.28,0.15
600,23.07,13.57,-0.12
610,24.29,14.7,-0.13
620,24.66,15.3,0.14
630,22.99,15.01,-1.54
640,24.4,13.67,-1.63
650,23.38,12.95,-0.03
660,20.74,12.4,2.54
670,18.64,9.13,2.31
680,14.19,6.57,3.4
690,11.94,4.65,3.05
700,8.22,3.07,4.25
710,5.05,0.87,4.96
720,0.2,-0.45,7.05
730,-3.28,-1.15,8.78
740,-6.22,-1.53,9.82
750,-8.18,-1.55,10.74
760,-10.55,-0.37,12.18
770,-12.25,-0.31,13.25
780,-14.55,-1.31,14.58
790,-16.61,-1.34,16.2
800,-17.27,-3.0,16.93
810,-17.2,-3.23,18.29
820,-16.05,-2.09,19.51
830,-13.82,-0.67,20.1
840,-12.05,0.23,18.99
850,-9.91,1.67,17.91
860,-8.31,2.95,16.15
870,-6.31,3.84,13.61
880,-4.27,4.96,11.41
890,-2.52,5.87,9.77
900,-1.02,6.5,8.49
910,0.15,6.72,7.7
920,0.68,6.77,7.12
930,0.88,6.55,6.77
940,0.81,6.29,6.59
950,0.7,5.82,6.34
960,0.97,5.58,6.7
970,0.99,5.6,6.94
980,0.92,5.48,7.39
990,0.54,5.32,7.54
1000,0.09,4.91,7.48
