timestamp,x,y,z
0,-3.21,8.81,-7.4
10,-3.08,9.16,-7.98
20,-2.59,9.75,-8.95
30,-1.89,10.56,-10.12
40,-1.3,11.56,-11.54
50,-0.68,12.66,-12.91
60,-0.29,13.86,-14.13
70,-0.13,14.65,-15.1
80,-0.25,14.94,-15.52
90,-0.58,14.93,-15.54
100,-0.92,14.81,-15.24
110,-1.16,14.61,-14.7
120,-1.32,14.4,-13.93
130,-1.42,14.08,-12.92
140,-1.36,13.51,-11.56
150,-1.34,12.35,-9.92
160,-1.57,10.89,-8.22
170,-1.8,9.77,-6.58
180,-1.82,9.03,-4.88
190,-1.87,8.2,-3.11
200,-1.98,6.93,-0.95
210,-2.07,5.57,1.48
220,-2.18,4.11,3.98
230,-2.69,3.0,6.72
240,-3.59,1.86,9.66
250,-4.58,0.52,12.58
260,-5.37,-0.77,14.92
270,-6.33,-1.98,16.22
280,-7.85,-3.27,16.41
290,-9.81,-4.57,15.55
300,-12.45,-6.05,14.02
310,-16.63,-7.14,11.99
320,-22.37,-7.48,9.76
330,-28.8,-7.72,6.98
340,-34.98,-7.49,3.45
350,-40.18,-7.02,-0.68
360,-42.17,-6.81,-4.32
370,-41.37,-7.32,-6.37
380,-37.43,-8.94,-7.26
390,-32.28,-10.49,-8.39
400,-26.57,-11.93,-10.81
410,-18.78,-13.4,-15.4
420,-6.91,-15.03,-22.8
430,6.14,-15.13,-33.23
440,17.35,-10.79,-45.09
450,25.54,-6.33,-53.31
460,31.1,-3.09,-53.39
470,35.13,-2.3,-50.0
480,36.73,-1.64,-46.49
490,36.51,-1.0,-43.38
500,36.09,-0.73,-39.96
510,34.06,-0.36,-35.91
520,30.72,-0.21,-31.39
530,26.32,-0.61,-26.92
540,21.62,-1.11,-22.85
550,16.99,-2.09,-19.27
560,12.47,-2.74,-16.09
570,7.81,-3.21,-13.33
580,2.54,-3.42,-10.54
590,-2.84,-3.28,-7.33
600,-7.8,-2.76,-3.55
610,-12.34,-2.01,-0.07
620,-16.89,-0.9,2.23
630,-21.78,0.45,3.91
640,-27.21,1.49,6.18
650,-32.65,2.39,8.92
660,-36.63,3.1,12.0
670,-38.8,3.56,14.77
680,-39.07,3.78,16.75
690,-37.88,3.86,17.97
700,-35.54,3.06,17.15
710,-32.62,2.27,14.91
720,-29.34,1.32,11.86
730,-26.01,-0.0,8.56
740,-23.23,-0.72,5.39
750,-20.07,-2.27,1.27
760,-16.18,-3.63,-3.01
770,-11.8,-5.41,-7.28
780,-6.04,-7.66,-11.88
790,2.85,-8.73,-18.36
800,9.82,-6.57,-25.82
810,13.09,-3.77,-33.05
820,15.96,-0.77,-37.45
830,19.21,0.69,-39.4
840,21.37,0.98,-38.9
850,21.67,1.06,-37.18
860,21.24,0.87,-34.79
870,20.68,1.21,-32.42
880,19.65,1.64,-30.04
890,17.59,1.95,-27.48
900,14.08,2.2,-24.8
910,10.11,2.37,-22.32
920,6.5,2.82,-20.22
930,3.66,3.27,-18.39
940,0.99,3.51,-16.53
950,-1.1,3.93,-14.8
960,-2.76,4.41,-13.07
970,-4.01,4.94,-11.53
980,-4.83,5.36,-10.21
990,-5.54,5.62,-9.07
1000,-6.05,5.75,-8.09
