timestamp,x,y,z
0,4.84,2.49,-18.66
10,7.13,2.89,-21.52
20,9.51,3.5,-24.31
30,11.48,4.06,-26.02
40,12.72,4.51,-26.6
50,13.21,4.52,-26.29
60,12.58,4.35,-25.02
70,11.2,4.09,-22.92
80,9.29,3.8,-20.09
90,6.95,3.51,-16.73
100,4.33,2.99,-13.26
110,1.55,2.31,-9.65
120,-1.13,1.59,-5.79
130,-3.95,1.1,-1.88
140,-6.47,0.23,1.65
150,-8.53,-0.69,4.71
160,-10.68,-1.01,6.93
170,-13.27,-1.07,8.09
180,-16.52,-1.54,8.77
190,-20.72,-2.08,8.96
200,-25.24,-2.26,8.32
210,-29.4,-2.93,7.33
220,-33.18,-3.99,6.28
230,-35.36,-5.51,4.74
240,-35.68,-7.1,2.17
250,-34.64,-8.99,-1.06
260,-32.39,-10.96,-4.01
270,-29.53,-13.03,-5.97
280,-26.47,-15.84,-6.77
290,-21.95,-19.68,-6.69
300,-16.76,-23.77,-7.05
310,-9.42,-28.43,-8.99
320,0.75,-32.15,-14.17
330,11.05,-32.74,-22.78
340,19.87,-30.12,-32.05
350,27.77,-26.24,-39.21
360,35.0,-22.63,-42.75
370,39.94,-20.11,-43.14
380,43.81,-18.06,-41.98
390,46.0,-15.63,-40.57
400,46.01,-13.41,-38.19
410,44.34,-12.15,-34.36
420,41.61,-12.05,-29.22
430,37.26,-13.04,-23.84
440,31.14,-14.57,-18.73
450,23.48,-16.03,-14.14
460,15.58,-16.56,-10.44
470,8.75,-16.4,-7.71
480,2.77,-15.56,-5.41
490,-2.89,-14.47,-3.35
500,-8.15,-13.73,-1.63
510,-12.61,-12.8,-0.35
520,-16.83,-12.45,0.01
530,-21.78,-11.43,-1.68
540,-27.36,-7.96,-5.58
550,-32.38,-3.6,-9.52
560,-36.64,-0.37,-11.63
570,-40.45,1.41,-11.91
580,-43.22,2.1,-10.37
590,-44.71,2.35,-7.7
600,-45.24,2.29,-4.6
610,-44.28,1.9,-1.64
620,-42.33,0.37,0.23
630,-40.01,-1.68,0.81
640,-36.92,-4.38,0.54
650,-32.27,-8.44,0.16
660,-25.91,-13.01,-0.61
670,-17.56,-17.89,-2.49
680,-6.92,-22.54,-6.34
690,4.46,-24.86,-13.08
700,14.42,-24.09,-21.75
710,22.76,-22.84,-29.31
720,29.56,-22.02,-34.59
730,34.11,-20.2,-37.7
740,36.04,-17.72,-38.77
750,36.3,-14.72,-38.01
760,34.32,-12.32,-35.87
770,30.74,-10.77,-32.42
780,25.89,-9.78,-28.19
790,20.56,-9.2,-23.72
800,15.05,-9.05,-19.4
810,9.57,-9.05,-15.55
820,4.3,-8.69,-12.47
830,-0.21,-7.64,-10.67
840,-3.44,-6.21,-9.92
850,-5.38,-4.72,-9.66
860,-6.43,-3.37,-9.37
870,-7.01,-2.16,-9.0
880,-7.36,-0.86,-8.46
890,-7.61,0.19,-7.93
900,-7.67,0.97,-7.47
910,-7.39,1.52,-7.23
920,-6.86,1.89,-7.1
930,-6.15,2.25,-7.11
940,-5.49,2.73,-7.34
950,-4.98,3.24,-7.74
960,-4.53,3.56,-8.12
970,-4.07,3.74,-8.51
980,-3.57,3.76,-8.76
990,-3.18,3.79,-8.91
1000,-2.86,3.7,-8.91
