timestamp,x,y,z
0,-12.64,10.56,-2.48
10,-15.23,10.84,-2.41
20,-18.16,10.69,-2.05
30,-20.66,9.99,-1.71
40,-22.86,9.05,-1.6
50,-24.29,7.77,-1.23
60,-24.56,7.45,-0.23
70,-24.21,5.68,0.7
80,-22.81,4.6,2.02
90,-20.61,5.26,4.11
100,-19.19,3.66,4.46
110,-17.0,1.89,4.93
120,-14.83,0.5,5.32
130,-12.51,-0.66,5.65
140,-10.06,-1.87,5.83
150,-7.64,-3.28,5.65
160,-5.34,-3.89,5.47
170,-2.94,-4.29,5.57
180,-0.54,-5.02,5.5
190,2.08,-5.21,5.3
200,4.73,-5.07,4.81
210,7.62,-5.0,4.08
220,11.2,-4.36,3.17
230,15.48,-3.91,2.47
240,20.72,-3.16,1.98
250,25.75,-1.82,1.94
260,29.93,-0.47,2.47
270,33.43,1.19,4.19
280,35.62,2.52,6.36
290,36.05,2.9,7.86
300,35.25,2.36,8.48
310,33.23,1.32,8.68
320,29.96,0.01,9.03
330,25.65,-1.28,9.62
340,20.38,-2.35,10.79
350,14.42,-3.44,12.3
360,7.75,-4.41,14.12
370,1.59,-5.13,16.01
380,-4.61,-5.88,16.99
390,-10.95,-7.28,17.86
400,-18.48,-9.36,18.51
410,-27.99,-11.07,18.13
420,-38.35,-12.33,16.3
430,-47.73,-12.58,11.73
440,-51.39,-11.94,6.73
450,-49.34,-11.1,2.28
460,-45.9,-9.85,-0.59
470,-40.8,-8.9,-1.85
480,-35.11,-7.92,-1.85
490,-29.37,-6.81,-0.68
500,-24.33,-5.57,0.85
510,-19.8,-4.7,2.18
520,-15.5,-4.04,3.28
530,-10.89,-3.25,4.41
540,-6.17,-2.14,5.46
550,-1.23,-0.75,6.62
560,2.76,0.16,7.88
570,6.23,2.29,9.75
580,10.15,3.66,10.75
590,14.68,6.75,12.39
600,19.07,9.99,13.96
610,23.67,11.55,13.3
620,27.58,13.51,12.58
630,31.35,15.6,11.9
640,33.6,16.81,11.31
650,34.78,17.2,10.91
660,34.96,16.6,10.79
670,33.27,14.81,10.58
680,29.73,12.11,10.29
690,25.39,8.86,10.01
700,20.37,5.33,9.75
710,14.94,2.76,9.77
720,9.52,0.41,9.78
730,4.33,-1.36,10.2
740,-2.55,-3.66,11.11
750,-10.43,-6.38,11.59
760,-18.56,-8.88,11.28
770,-26.16,-10.9,9.97
780,-32.09,-12.08,8.11
790,-36.08,-12.39,6.04
800,-37.38,-11.26,4.22
810,-35.97,-8.82,3.48
820,-33.21,-5.88,2.89
830,-29.2,-3.62,1.82
840,-24.65,-2.27,0.42
850,-20.14,-1.01,-0.76
860,-16.14,-0.12,-1.64
870,-12.65,1.07,-1.77
880,-9.74,2.4,-1.45
890,-7.46,3.96,-1.15
900,-5.74,5.32,-0.72
910,-4.59,6.38,-0.32
920,-3.78,6.94,-0.12
930,-3.34,7.43,0.25
940,-3.16,7.63,0.56
950,-3.19,7.73,0.79
960,-3.42,7.81,0.95
970,-3.74,7.81,1.24
980,-3.94,7.7,1.36
990,-4.07,7.58,1.47
1000,-4.29,7.36,1.7
