timestamp,x,y,z
0,-1.22,1.81,-12.45
10,-0.7,2.14,-13.92
20,0.32,2.83,-16.52
30,1.95,3.43,-19.71
40,3.88,4.0,-22.87
50,5.68,4.46,-25.62
60,7.0,4.63,-27.3
70,7.56,4.65,-27.53
80,7.74,4.44,-26.81
90,7.36,4.18,-25.35
100,6.79,3.84,-23.37
110,6.05,3.33,-20.93
120,5.11,3.1,-18.1
130,4.01,2.85,-15.13
140,2.74,2.43,-12.1
150,1.14,1.95,-8.94
160,-0.75,1.38,-5.82
170,-2.94,0.84,-2.83
180,-4.9,0.54,-0.03
190,-6.56,0.32,2.53
200,-8.71,-0.01,4.63
210,-11.55,-0.29,6.49
220,-14.42,-0.34,7.94
230,-17.59,-0.79,8.85
240,-21.02,-1.68,9.41
250,-24.9,-2.93,9.63
260,-29.6,-4.17,9.6
270,-33.9,-5.69,8.98
280,-36.72,-7.53,8.1
290,-37.21,-9.58,6.59
300,-36.02,-12.04,4.26
310,-33.27,-14.65,1.53
320,-29.35,-17.22,-1.06
330,-25.0,-19.98,-3.28
340,-19.69,-23.79,-5.2
350,-12.51,-27.98,-8.49
360,-2.61,-30.68,-15.88
370,9.25,-31.54,-26.92
380,20.36,-28.4,-38.09
390,28.08,-24.96,-44.85
400,36.48,-21.61,-46.54
410,43.25,-18.61,-45.68
420,47.04,-15.84,-44.7
430,49.29,-13.15,-43.31
440,49.81,-11.99,-40.38
450,48.04,-11.2,-36.71
460,44.22,-11.06,-32.39
470,38.43,-12.14,-27.27
480,30.84,-13.64,-21.86
490,22.3,-15.26,-17.07
500,13.93,-16.07,-13.02
510,6.65,-16.42,-9.96
520,-0.95,-16.16,-7.55
530,-8.99,-15.21,-5.36
540,-15.11,-13.66,-3.31
550,-18.3,-12.17,-2.25
560,-20.81,-10.85,-2.75
570,-25.15,-8.95,-4.16
580,-31.14,-6.48,-5.19
590,-37.49,-3.55,-5.59
600,-42.86,-0.73,-5.44
610,-45.93,1.41,-5.07
620,-46.44,2.54,-4.95
630,-44.55,3.34,-4.46
640,-40.09,2.85,-3.61
650,-35.04,1.04,-2.62
660,-31.25,-0.45,-1.9
670,-28.68,-1.8,-1.81
680,-25.44,-4.52,-2.65
690,-21.9,-7.21,-4.01
700,-16.23,-10.35,-6.54
710,-8.37,-13.32,-10.55
720,0.36,-14.73,-15.89
730,8.2,-14.39,-21.53
740,14.39,-13.85,-26.35
750,19.46,-13.71,-28.84
760,23.39,-13.36,-29.4
770,25.97,-12.59,-29.19
780,27.5,-11.88,-28.83
790,27.99,-10.66,-28.55
800,27.48,-9.39,-27.91
810,26.12,-8.36,-26.66
820,24.03,-7.56,-24.83
830,21.55,-6.87,-22.67
840,18.5,-6.35,-20.31
850,14.95,-5.86,-17.9
860,10.94,-5.41,-15.74
870,6.88,-5.02,-13.8
880,3.09,-4.68,-12.28
890,-0.41,-4.21,-11.29
900,-3.32,-3.43,-10.63
910,-5.34,-2.39,-10.25
920,-6.34,-1.38,-10.06
930,-6.56,-0.54,-9.92
940,-6.49,0.0,-9.86
950,-6.54,0.47,-9.76
960,-6.91,0.91,-9.63
970,-7.46,1.38,-9.29
980,-7.75,1.8,-8.76
990,-7.73,2.07,-8.09
1000,-7.52,2.27,-7.56
