timestamp,x,y,z
0,1.88,4.74,-11.12
10,2.45,5.09,-11.85
20,3.41,5.32,-13.2
30,4.46,5.43,-14.88
40,5.56,5.33,-16.81
50,6.21,5.07,-19.18
60,7.2,4.76,-21.61
70,9.08,4.79,-24.25
80,10.39,4.69,-25.68
90,10.96,4.1,-25.71
100,11.02,3.51,-24.56
110,10.5,2.74,-22.63
120,9.64,1.52,-20.52
130,8.5,0.99,-17.91
140,7.29,0.76,-15.59
150,5.96,0.68,-13.91
160,4.09,0.63,-12.22
170,2.02,0.54,-10.73
180,0.27,0.52,-9.22
190,-1.17,0.44,-7.77
200,-2.56,0.33,-6.28
210,-3.64,0.22,-4.85
220,-4.43,-0.02,-3.56
230,-4.62,-0.3,-2.14
240,-4.88,-0.64,-0.35
250,-5.49,-1.03,2.06
260,-6.66,-1.41,5.37
270,-9.11,-1.76,9.51
280,-12.28,-1.66,14.22
290,-16.24,-1.05,18.79
300,-19.99,-0.06,22.85
310,-22.82,1.03,26.13
320,-24.59,1.74,27.58
330,-25.26,1.73,27.55
340,-24.27,0.64,25.63
350,-22.45,-1.52,22.09
360,-20.23,-3.21,16.53
370,-18.59,-6.49,11.78
380,-15.58,-7.67,2.67
390,-11.86,-8.02,-4.64
400,-9.17,-8.97,-11.26
410,-5.65,-10.47,-16.92
420,-1.29,-12.18,-22.24
430,3.67,-12.72,-26.53
440,7.57,-12.82,-29.81
450,11.85,-12.35,-31.85
460,15.49,-10.71,-32.82
470,17.69,-8.83,-31.93
480,17.68,-7.18,-30.04
490,17.59,-6.72,-26.93
500,17.72,-7.07,-23.51
510,17.39,-7.37,-20.77
520,15.65,-6.99,-18.12
530,13.61,-5.77,-15.48
540,11.23,-3.91,-13.3
550,8.6,-1.57,-12.01
560,5.77,-1.01,-11.1
570,3.49,0.04,-10.83
580,0.39,0.56,-9.85
590,-2.72,1.64,-8.87
600,-5.94,2.49,-7.97
610,-8.7,3.89,-7.34
620,-11.2,6.28,-6.68
630,-15.09,6.83,-5.64
640,-15.64,8.69,-5.03
650,-19.5,10.74,-3.68
660,-23.31,12.42,-2.89
670,-24.89,13.98,-2.01
680,-26.19,15.01,-0.4
690,-27.58,15.85,1.71
700,-28.4,16.01,3.75
710,-28.69,15.22,4.58
720,-28.06,14.56,4.6
730,-26.48,13.57,4.45
740,-24.2,11.23,4.06
750,-21.76,7.75,3.71
760,-18.94,4.37,2.81
770,-15.54,0.91,1.18
780,-12.02,-2.45,-1.13
790,-8.37,-6.03,-3.59
800,-3.5,-9.06,-7.19
810,1.65,-11.6,-11.31
820,6.92,-13.21,-15.76
830,10.57,-13.33,-19.63
840,13.84,-13.61,-23.17
850,15.75,-14.11,-25.75
860,15.54,-13.89,-27.12
870,15.28,-11.39,-28.6
880,13.36,-8.87,-29.02
890,11.75,-5.74,-28.63
900,8.6,-3.2,-26.62
910,5.79,-1.22,-23.96
920,4.13,0.37,-20.73
930,2.95,2.23,-17.54
940,1.71,2.64,-14.6
950,0.89,3.15,-12.22
960,0.23,3.68,-10.32
970,-0.24,3.96,-8.94
980,-0.52,4.36,-7.93
990,-0.5,4.87,-7.25
1000,-0.54,5.0,-7.07
