timestamp,x,y,z
0,0.03,8.84,-7.89
10,-0.13,8.85,-8.1
20,-0.4,8.89,-8.0
30,-0.81,8.94,-7.71
40,-1.27,8.98,-6.93
50,-1.33,8.85,-5.95
60,-0.93,8.81,-5.22
70,-0.39,8.73,-4.73
80,0.34,8.58,-4.26
90,1.0,8.46,-3.96
100,1.7,8.32,-3.57
110,2.38,8.15,-3.09
120,3.1,8.02,-2.62
130,3.79,7.86,-2.17
140,4.44,7.68,-1.68
150,5.36,7.42,-1.17
160,6.62,7.03,-0.61
170,8.14,6.6,0.1
180,9.68,5.94,0.86
190,10.95,5.4,1.68
200,11.59,4.75,2.89
210,11.95,3.9,4.83
220,12.23,2.23,7.31
230,11.54,0.14,8.87
240,9.64,-1.35,8.91
250,7.63,-3.05,8.18
260,5.93,-5.28,7.49
270,4.33,-7.66,6.54
280,1.6,-10.61,4.92
290,-2.45,-12.52,2.88
300,-7.27,-12.89,0.89
310,-12.36,-11.63,-0.26
320,-16.37,-10.17,0.84
330,-19.54,-8.47,2.99
340,-21.9,-6.95,4.96
350,-24.1,-5.68,6.45
360,-27.1,-4.73,7.59
370,-29.69,-3.99,8.97
380,-30.15,-3.89,9.81
390,-30.24,-3.93,10.53
400,-30.22,-3.68,11.5
410,-29.53,-3.48,12.18
420,-28.03,-3.21,11.68
430,-25.97,-3.29,10.9
440,-23.33,-3.44,10.28
450,-20.57,-3.5,9.92
460,-17.93,-3.65,9.63
470,-15.32,-3.81,9.48
480,-12.71,-4.41,9.01
490,-10.5,-4.97,8.08
500,-8.72,-5.52,6.77
510,-7.85,-5.48,4.7
520,-7.58,-4.72,2.41
530,-7.82,-3.59,0.3
540,-7.47,-2.69,-1.2
550,-6.75,-2.08,-2.27
560,-6.39,-1.48,-3.54
570,-6.31,-0.49,-5.43
580,-5.46,0.46,-6.57
590,-3.52,0.65,-7.36
600,-1.02,0.49,-6.46
610,0.94,0.7,-5.22
620,2.6,1.38,-4.75
630,3.75,2.43,-5.09
640,4.56,3.61,-5.95
650,5.41,4.63,-6.75
660,5.94,5.24,-7.38
670,6.22,5.78,-7.76
680,6.29,6.09,-7.78
690,6.18,6.3,-7.3
700,5.84,6.47,-6.81
710,5.21,6.57,-6.36
720,4.68,6.69,-6.31
730,4.08,6.96,-6.58
740,3.55,7.15,-6.74
750,3.05,7.31,-6.84
760,2.69,7.49,-6.9
770,2.37,7.66,-6.84
780,2.21,7.79,-6.67
790,2.2,7.83,-6.51
800,2.26,7.82,-6.49
810,2.16,7.91,-6.28
820,2.02,8.0,-6.01
830,1.94,8.14,-5.89
840,1.93,8.21,-5.75
850,1.75,8.26,-5.43
860,1.18,8.39,-4.85
870,0.66,8.64,-4.56
880,0.35,8.87,-4.59
890,0.19,9.0,-4.83
900,-0.04,9.08,-4.94
910,-0.36,9.12,-4.98
920,-0.57,9.21,-5.12
930,-0.66,9.22,-5.27
940,-0.91,9.18,-5.19
950,-1.29,9.27,-5.0
960,-1.45,9.35,-4.86
970,-1.41,9.36,-4.8
980,-1.41,9.33,-4.63
990,-1.49,9.31,-4.37
1000,-1.48,9.34,-4.31
