timestamp,x,y,z
0,-4.3,9.63,-1.95
10,-4.77,9.78,-2.21
20,-5.26,9.82,-2.71
30,-5.91,9.86,-3.25
40,-6.58,9.83,-3.88
50,-6.9,9.65,-4.14
60,-6.97,8.97,-3.9
70,-6.52,8.94,-3.44
80,-5.49,8.46,-3.04
90,-4.13,7.84,-2.91
100,-2.85,7.49,-3.29
110,-1.51,7.23,-3.96
120,-0.24,6.97,-4.9
130,1.09,7.02,-5.89
140,2.51,6.85,-6.33
150,3.99,6.79,-6.44
160,5.64,6.6,-6.25
170,7.24,6.09,-6.05
180,9.07,5.49,-6.03
190,11.07,4.46,-6.37
200,12.92,3.01,-6.94
210,14.78,0.89,-6.43
220,15.58,-1.74,-5.04
230,14.28,-6.21,-2.26
240,10.2,-9.5,1.05
250,9.6,-12.72,2.96
260,3.94,-14.5,5.59
270,-0.48,-13.83,7.04
280,-4.85,-12.35,7.92
290,-10.06,-10.87,9.65
300,-14.15,-8.79,13.15
310,-15.48,-6.02,18.87
320,-15.33,-3.58,24.46
330,-14.21,-1.74,29.73
340,-14.46,-0.96,32.98
350,-16.68,-0.13,33.39
360,-18.49,0.52,32.45
370,-18.41,0.49,29.46
380,-17.16,0.2,26.61
390,-16.55,0.12,23.76
400,-15.22,-0.41,21.02
410,-14.33,-0.6,19.89
420,-12.42,-1.36,18.0
430,-10.58,-1.34,16.4
440,-8.23,-3.8,15.06
450,-5.27,-5.66,13.9
460,-2.7,-7.24,12.2
470,-1.58,-8.34,10.0
480,-1.13,-8.45,6.67
490,-1.32,-7.36,2.53
500,-2.51,-4.6,-1.48
510,-3.61,-2.46,-4.14
520,-4.11,-1.0,-6.54
530,-3.12,-0.19,-8.73
540,-1.59,0.67,-9.71
550,0.26,1.82,-10.4
560,1.57,2.97,-10.59
570,2.43,4.2,-10.58
580,2.69,5.28,-10.54
590,2.8,6.33,-10.0
600,2.61,6.8,-9.13
610,2.43,7.26,-8.2
620,2.11,7.61,-7.09
630,1.77,7.97,-5.97
640,1.2,8.36,-5.05
650,0.76,8.71,-4.26
660,0.36,8.95,-3.75
670,-0.12,9.16,-3.5
680,-0.59,9.43,-3.48
690,-0.83,9.58,-3.73
700,-0.91,9.58,-4.04
710,-0.91,9.53,-4.15
720,-0.85,9.49,-3.87
730,-0.72,9.36,-3.61
740,-0.58,9.27,-3.39
750,-0.61,9.31,-3.26
760,-0.55,9.34,-3.12
770,-0.48,9.34,-3.3
780,-0.58,9.4,-3.65
790,-0.67,9.48,-3.86
800,-0.78,9.54,-3.77
810,-0.85,9.6,-3.65
820,-0.96,9.66,-3.5
830,-1.05,9.66,-3.28
840,-1.09,9.62,-3.08
850,-1.07,9.56,-2.82
860,-1.08,9.57,-2.66
870,-1.09,9.6,-2.72
880,-1.16,9.59,-2.89
890,-1.23,9.63,-3.05
900,-1.25,9.58,-3.17
910,-1.25,9.57,-3.23
920,-1.24,9.53,-3.32
930,-1.19,9.5,-3.46
940,-1.13,9.47,-3.57
950,-1.09,9.44,-3.52
960,-1.1,9.42,-3.27
970,-1.07,9.37,-3.12
980,-1.05,9.34,-3.08
990,-1.05,9.34,-3.17
1000,-1.06,9.38,-3.28
