timestamp,x,y,z
0,-6.23,10.26,-4.58
10,-6.71,10.59,-4.72
20,-7.34,10.74,-5.02
30,-8.16,10.88,-5.18
40,-9.05,11.05,-5.0
50,-9.72,10.85,-4.56
60,-9.27,10.57,-4.09
70,-8.4,10.41,-3.73
80,-7.39,10.31,-3.21
90,-5.99,9.84,-2.7
100,-4.6,9.56,-2.28
110,-3.5,9.31,-1.92
120,-2.4,9.0,-1.57
130,-1.44,8.79,-1.26
140,-0.59,8.55,-0.67
150,0.57,8.06,0.12
160,1.65,7.41,0.79
170,2.63,6.91,1.3
180,3.55,6.99,1.73
190,4.53,6.4,2.29
200,5.27,5.58,2.49
210,6.34,5.09,2.44
220,8.03,4.66,2.45
230,9.49,4.49,2.85
240,11.91,4.39,3.52
250,14.7,3.28,4.65
260,16.32,1.36,5.79
270,16.01,-1.24,6.87
280,13.49,-4.9,7.98
290,11.01,-9.58,8.29
300,8.02,-15.28,7.3
310,4.3,-19.61,4.32
320,-0.99,-25.06,1.59
330,-7.05,-27.27,-0.07
340,-12.76,-24.85,-0.66
350,-18.18,-20.62,1.03
360,-21.46,-15.88,4.09
370,-25.21,-10.0,7.95
380,-32.1,-8.03,14.42
390,-40.4,-2.22,19.04
400,-43.28,1.69,21.05
410,-38.21,0.67,21.46
420,-31.3,-1.54,18.57
430,-24.87,-3.08,14.84
440,-21.13,-4.04,12.61
450,-19.72,-4.59,12.99
460,-19.85,-4.89,13.27
470,-20.03,-4.7,12.5
480,-18.67,-6.21,11.3
490,-16.29,-8.01,9.28
500,-12.72,-10.22,6.59
510,-8.32,-11.97,3.35
520,-4.52,-12.56,0.6
530,-2.4,-10.85,-2.54
540,-1.04,-6.41,-5.77
550,-0.12,-2.27,-6.82
560,0.63,-0.22,-6.31
570,1.58,2.2,-7.88
580,2.75,3.97,-8.11
590,3.78,4.36,-7.31
600,4.98,5.07,-6.24
610,4.79,5.36,-5.62
620,3.92,5.58,-5.52
630,3.12,5.89,-5.07
640,2.07,6.02,-4.55
650,1.36,6.28,-4.75
660,-0.02,6.79,-4.69
670,-0.26,6.97,-5.08
680,-0.28,7.33,-5.35
690,-0.37,7.73,-5.26
700,-0.48,8.2,-4.82
710,-0.66,8.6,-4.49
720,-1.29,8.98,-4.17
730,-2.24,9.24,-3.8
740,-3.06,9.46,-3.44
750,-3.67,9.54,-3.18
760,-4.22,9.64,-3.11
770,-4.47,9.67,-3.18
780,-4.4,9.64,-3.35
790,-4.37,9.54,-3.64
800,-4.51,9.49,-3.81
810,-4.5,9.27,-3.87
820,-4.79,9.04,-4.0
830,-4.91,8.93,-3.79
840,-4.75,8.71,-3.75
850,-4.44,8.54,-4.06
860,-4.32,8.47,-4.3
870,-4.19,8.46,-4.41
880,-3.99,8.42,-4.61
890,-3.7,8.41,-4.83
900,-3.57,8.38,-4.89
910,-3.45,8.36,-4.77
920,-3.31,8.24,-4.68
930,-3.2,8.17,-4.72
940,-3.09,8.12,-4.69
950,-2.91,8.09,-4.63
960,-2.76,8.06,-4.59
970,-2.69,8.08,-4.61
980,-2.91,8.22,-4.62
990,-3.13,8.34,-4.55
1000,-3.23,8.39,-4.44
