timestamp,x,y,z
0,-6.43,9.96,-2.94
10,-6.5,9.84,-3.04
20,-6.66,9.74,-3.17
30,-6.76,9.67,-3.39
40,-6.65,9.56,-3.52
50,-6.24,9.24,-3.69
60,-5.64,8.84,-3.89
70,-4.7,8.4,-4.51
80,-3.7,8.09,-5.4
90,-2.66,7.53,-6.3
100,-1.15,7.13,-7.3
110,-0.1,6.66,-7.41
120,1.5,6.1,-7.2
130,3.11,5.76,-6.73
140,4.65,5.67,-6.13
150,5.9,5.46,-5.92
160,6.84,5.45,-5.32
170,6.71,5.63,-4.82
180,6.23,5.72,-3.28
190,5.28,5.64,-1.96
200,4.27,5.51,-1.11
210,3.84,5.26,-0.62
220,4.16,4.52,-0.9
230,4.85,3.69,-1.15
240,6.07,2.18,-0.74
250,7.99,-1.21,-0.18
260,9.07,-5.01,1.19
270,9.43,-9.71,2.64
280,6.91,-14.42,5.27
290,2.86,-17.98,5.69
300,-4.93,-18.11,9.29
310,-11.69,-12.04,14.08
320,-14.05,-6.71,17.95
330,-13.5,-4.09,20.88
340,-11.63,-4.6,22.81
350,-12.3,-4.56,23.33
360,-13.37,-5.07,22.03
370,-14.37,-4.27,22.1
380,-14.5,-4.08,21.83
390,-15.06,-3.91,20.71
400,-15.58,-3.12,19.4
410,-16.34,-2.39,18.49
420,-17.44,-1.24,19.59
430,-17.76,-0.09,20.91
440,-17.93,0.71,22.18
450,-18.0,1.6,23.87
460,-17.43,1.81,25.08
470,-15.13,0.27,25.11
480,-12.04,-3.41,24.53
490,-8.22,-8.88,21.86
500,-5.55,-13.71,17.46
510,-2.6,-16.92,12.63
520,-0.75,-18.19,7.8
530,-0.33,-16.97,3.29
540,-0.74,-14.29,-0.57
550,-1.21,-10.44,-4.75
560,-1.33,-7.28,-9.44
570,-0.45,-4.41,-13.49
580,1.25,-2.68,-16.86
590,2.88,-0.7,-19.01
600,4.0,0.85,-19.03
610,4.53,2.05,-17.42
620,4.58,2.89,-14.95
630,4.11,3.62,-12.42
640,3.68,4.34,-10.52
650,3.27,5.13,-8.81
660,2.72,5.94,-7.42
670,1.97,6.96,-6.44
680,1.0,7.92,-5.54
690,0.41,8.66,-4.16
700,0.04,9.24,-3.02
710,-0.46,9.63,-2.6
720,-0.66,9.93,-2.57
730,-0.89,10.14,-2.59
740,-1.04,10.44,-2.49
750,-1.15,10.35,-2.59
760,-1.29,10.45,-2.7
770,-1.58,10.28,-3.04
780,-1.82,10.35,-2.55
790,-1.95,10.2,-2.15
800,-1.98,10.12,-2.09
810,-1.98,9.96,-2.24
820,-2.11,9.89,-2.63
830,-2.13,9.85,-2.7
840,-1.87,9.72,-2.6
850,-1.66,9.56,-2.78
860,-1.42,9.42,-3.17
870,-1.13,9.25,-3.61
880,-0.96,9.15,-3.98
890,-0.85,9.11,-4.26
900,-0.75,9.09,-4.46
910,-0.75,9.07,-4.57
920,-0.87,9.11,-4.1
930,-0.96,9.17,-3.45
940,-1.0,9.27,-3.08
950,-1.1,9.32,-2.95
960,-1.26,9.44,-3.07
970,-1.45,9.56,-3.25
980,-1.44,9.56,-3.16
990,-1.5,9.49,-3.21
1000,-1.5,9.39,-3.37
