timestamp,x,y,z
0,-2.91,9.52,1.19
10,-3.09,9.53,1.13
20,-3.34,9.55,1.1
30,-3.8,9.63,1.13
40,-4.39,9.86,0.93
50,-4.94,10.08,0.54
60,-5.12,10.07,0.27
70,-4.98,9.95,0.23
80,-4.62,9.78,0.4
90,-4.47,9.85,0.65
100,-4.18,9.89,0.8
110,-3.53,9.93,0.4
120,-2.6,9.1,-0.3
130,-1.51,8.54,-1.29
140,-0.17,8.14,-2.36
150,1.38,7.72,-3.63
160,3.0,7.09,-4.94
170,5.04,6.68,-6.4
180,6.95,5.9,-7.81
190,8.71,4.6,-7.79
200,9.65,3.6,-7.73
210,10.45,1.6,-6.63
220,10.75,-1.35,-4.71
230,10.6,-4.74,-3.53
240,8.17,-6.8,-2.18
250,5.0,-9.77,0.41
260,1.52,-10.98,1.86
270,-3.85,-11.26,2.59
280,-9.47,-9.85,4.32
290,-13.68,-6.21,7.94
300,-17.47,-2.72,15.09
310,-18.61,0.71,23.2
320,-18.23,2.96,30.21
330,-17.69,3.46,34.76
340,-18.05,3.73,33.4
350,-16.47,2.85,29.24
360,-15.01,1.26,25.71
370,-15.82,0.99,23.23
380,-14.72,0.01,21.44
390,-13.32,0.0,19.4
400,-12.74,-0.34,17.59
410,-12.03,-1.14,15.39
420,-10.86,-1.83,13.05
430,-9.06,-2.89,10.61
440,-7.68,-3.45,7.71
450,-6.61,-3.9,4.55
460,-5.33,-3.54,1.92
470,-3.73,-2.92,0.24
480,-2.43,-1.58,-1.88
490,-1.5,-0.04,-3.56
500,-0.29,1.43,-4.74
510,0.83,2.87,-5.82
520,1.66,4.04,-6.07
530,2.38,5.03,-6.0
540,2.76,5.89,-5.71
550,2.8,6.62,-5.32
560,2.54,7.34,-4.7
570,1.97,7.7,-3.99
580,1.67,8.31,-3.18
590,1.07,8.48,-2.69
600,0.59,8.66,-2.16
610,0.14,8.86,-1.56
620,-0.18,8.96,-1.1
630,-0.44,9.06,-0.68
640,-0.51,9.11,-0.3
650,-0.61,9.1,-0.06
660,-0.89,9.12,-0.05
670,-1.22,9.21,0.08
680,-1.38,9.33,0.31
690,-1.52,9.32,0.56
700,-1.5,9.26,0.71
710,-1.54,9.27,0.68
720,-1.73,9.26,0.83
730,-1.97,9.34,0.89
740,-2.16,9.4,0.96
750,-2.55,9.51,1.17
760,-2.81,9.58,1.58
770,-3.02,9.58,1.73
780,-3.22,9.69,1.67
790,-3.27,9.67,1.69
800,-3.31,9.57,1.78
810,-3.38,9.63,1.75
820,-3.42,9.68,1.51
830,-3.39,9.66,1.21
840,-3.26,9.63,1.06
850,-3.08,9.55,0.98
860,-2.84,9.43,0.94
870,-2.59,9.32,0.81
880,-2.43,9.25,0.74
890,-2.25,9.1,1.16
900,-2.17,9.13,1.36
910,-2.22,9.23,1.3
920,-2.3,9.36,1.04
930,-2.29,9.43,0.68
940,-2.17,9.4,0.44
950,-1.97,9.39,0.19
960,-1.77,9.25,0.34
970,-1.68,9.2,0.46
980,-1.72,9.18,0.54
990,-1.78,9.15,0.75
1000,-1.86,9.14,1.04
